duration_s,probability
0.0,0.8
0.15,0.000854
0.25,0.003154
0.35,0.010716
0.45,0.021771
0.55,0.022346
0.65,0.028316
0.75,0.018587
0.85,0.019029
0.95,0.013811
1.05,0.01244
1.15,0.008018
1.25,0.007311
1.35,0.006205
1.45,0.006426
1.55,0.003685
1.65,0.003021
1.75,0.002668
1.85,0.003021
1.95,0.001444
2.05,0.001312
2.15,0.001444
2.25,0.001002
2.35,0.000604
2.45,0.000339
2.55,0.00028
2.65,0.000501
2.75,0.000412
2.85,0.000295
2.95,2.9e-05
3.05,0.000295
3.15,7.3e-05
3.25,0.000162
3.35,7.3e-05
3.45,0.000162
3.55,0.0
3.65,0.000118
3.75,7.3e-05
