seed_id,omega,v_f0,d0,t_crash,dv_lead_orig
3456,2.981746817,0.0,4.021037145,5.05,0.688653783
1989,8.522252513,3.43,18.21,5.05,1.474381817
137,5.614050536,4.96,3.94,4.9,3.668168908
97,3.931568437,4.67,16.05,4.85,2.154191371
3992,1.947109029,3.25,9.88,5.15,3.158814381
4538,7.794144616,7.55,4.21,4.85,2.623670546
3367,70.2971636,0.0,2.877707809,5.15,0.376205577
3749,9.663026566,0.35,3.77,4.85,0.306148129
3164,1.82206599,0.0,3.327863282,5.05,2.81751925
4609,7.557810166,6.44,9.57,5.05,0.950405117
4014,3.179482823,7.69,29.97,5.2,5.83752912
7,0.48163867,3.6,12.11,4.9,0.327796201
4191,4.261058731,4.98,13.28,5.15,2.920401883
118,6.059074369,2.7,2.25,4.85,1.311272381
843,7.558013462,4.63,10.69,5.1,0.452105698
4222,1.311170693,9.96,22.86,5.2,3.210204049
3153,4.949789697,0.0,6.171795243,4.9,1.017576538
2173,13.2862839,3.15,20.03,4.85,2.41642839
2672,1.489869613,0.0,5.189970077,4.95,0.717698263
115,12.904755,1.48,1.41,5.15,1.189281408
450,4.948212379,4.27,5.54,4.85,1.31809941
3574,5.339682977,2.67,1.93,5.1,1.912217949
3499,5.89408179,0.7,1.24,5.2,1.620422212
3386,2.702966226,0.0,2.096635945,5.05,1.613098677
2533,2.657947679,0.0,2.270284988,5.05,2.323793379
4989,5.801031547,6.72,6.29,4.85,0.54385913
4935,7.024650249,6.75,13.1,4.85,0.659217092
3621,0.192323998,1.53,2.8,4.95,0.987518978
3508,4.890128532,2.81,4.52,5.1,1.218845734
3627,0.05093154,0.85,4.24,5.05,1.497679372
2555,2.184378528,0.0,3.329599274,5.05,2.198242123
488,3.984342493,1.3,3.35,5.15,0.628158619
3731,2.271158943,3.83,8.37,4.95,2.648237717
3098,1.692418966,0.0,4.567844866,4.85,0.679705778
2231,6.005935602,8.83,42.87,4.9,5.447420532
2983,10.03195587,0.0,6.925781188,4.9,0.786261756
4392,1.176931206,8.86,5.82,5.1,2.052965006
2467,2.097498311,6.17,33.32,4.85,4.458351685
3292,0.112617183,0.0,1.833635172,5.05,2.303467346
2317,9.531668999,7.83,41.51,5.15,4.268174762
2388,4.859534137,1.68,9.94,5.05,1.522113947
2566,1.692418966,0.0,4.426733052,4.95,0.628644331
4393,1.757055635,7.87,2.98,5.1,1.753012175
1572,2.001097954,1.89,5.12,4.9,0.734479197
3394,29.9348413,0.0,7.92649219,4.85,1.518298908
256,6.058527951,1.44,1.43,5.1,0.536785706
4066,7.345947021,6.13,7.27,4.9,0.810256655
3901,2.378072094,0.22,1.21,5.1,0.919134237
1722,2.415843392,6.65,5.64,4.9,0.112889231
4295,8.206810712,5.59,7.8,5.05,0.803484155
177,3.876896501,3.08,3.09,4.85,0.412631076
2387,8.428573651,1.68,9.94,5.2,1.657712821
652,1.907954255,9.72,19.23,4.95,1.760617514
2798,2.758690718,0.0,2.828993379,5.05,0.519622889
3928,3.701838618,1.85,1.61,5.1,1.490539703
1624,3.062640499,2.29,10.42,4.85,0.935554549
154,2.032838846,2.72,3.14,5.0,2.183489062
2596,1.085891129,0.0,4.242076858,5.05,3.481153914
1154,2.47910412,4.99,4.66,4.85,0.517998074
274,5.172719519,7.97,37.74,4.85,4.246526767
3255,3.724811877,0.0,2.821328551,5.05,2.042819646
2127,1.617272069,5.24,27.67,4.9,3.285403639
2494,2.257189178,11.64,56.5,5.15,4.137629348
1003,0.815828059,13.92,25.01,4.85,0.960196766
4799,5.469193281,14.03,10.12,4.95,0.881672667
1583,5.23847288,12.72,51.26,5.05,2.646405218
641,2.761089111,12.0,14.61,5.0,0.755846333
2296,2.133205738,14.33,66.03,4.85,3.496935502
4757,1.822818381,13.36,17.41,5.2,1.053817667
1726,3.029480431,12.26,6.64,5.0,0.751292223
4852,2.515425003,10.61,17.49,5.2,0.123306006
1952,2.827105349,11.96,60.56,5.1,7.940554112
1697,6.343306969,13.13,14.0,4.95,0.659640944
2236,1.943766018,14.88,73.28,5.05,6.878073124
4974,0.779775421,11.48,6.45,4.85,0.692570923
4820,1.203485099,13.6,17.16,5.0,0.796514341
1834,2.249502463,12.06,17.05,4.85,3.176987317
4166,3.226707196,14.55,19.14,5.2,1.957703554
1945,3.12565425,11.2,54.47,5.0,3.033245956
1589,3.738573349,15.47,22.52,4.95,3.040621136
2419,8.64901433,15.44,74.98,4.9,8.405934383
1304,2.68871351,17.09,29.41,5.2,0.937117966
2126,2.694296357,19.44,92.86,5.1,4.709759875
2086,5.608201961,17.9,86.14,5.1,5.382081926
4427,5.169167584,26.81,25.33,5.0,9.140578517
554,6.671350142,16.07,8.66,4.9,1.600525714
2123,3.81142775,20.85,97.72,4.85,7.092616002
4426,3.08265177,26.81,25.33,5.05,3.371395233
4661,2.406144886,27.82,35.43,5.2,7.704874877
89,0.35106393,15.2,25.35,5.05,5.250055724
4004,3.840425903,15.9,6.95,5.0,3.879957883
4864,3.944110494,16.67,21.43,5.05,2.984251775
4626,7.399787965,21.89,29.05,4.9,4.626860685
606,0.451060039,23.53,24.38,5.05,0.625362928
4784,0.45626566,23.5,11.3,4.85,4.411268399
4200,2.307121607,28.67,32.35,4.95,8.186443863
3720,4.169562396,21.48,28.31,5.15,5.684521589
1417,1.021258737,23.67,10.69,5.2,0.511251153
871,6.325839138,35.48,86.1,5.2,10.23635476
2516,5.518906897,18.78,89.44,5.0,6.65346131
