eps,eps_step0,eps_last,term_speed,term_accel,term_steer,term_lateral,term_collision,term_safety,collision_share,collide_frac,gap_m,v_ego,v_other,dv,seed,tag,mode,eps_lo,eps_hi,deposit_eps,deposit_share,thw,part,ttc,dv_kph,dG,a_best_first,omega_best_first,omega_best_max,acts_brake,acts_steer,acts
3237.798226835127,3104.7682157174972,904.1710558521124,7.563999999999667,15.000000000000004,-9.237055564881302e-14,0.0,2142.4844053647535,164.92560144233016,0.985175918334844,0.0,16.7,25.0,25.0,0.0,4.0,v25_thw0.67,released,1000.5273327926952,8002.978278512112,67482.1808,1.0,0.668,A,,,,,,,,,
6706.748943908375,6699.762437862434,329.3364607659749,7.563999999999671,15.0,-2.842170943040401e-14,0.0,2304.8062090384146,452.9714050501856,0.99330676207333,0.0,14.2,20.0,20.0,0.0,4.0,v20_thw0.71,released,1319.7654748868777,68762.37375212299,94388.6294,1.0,0.71,A,,,,,,,,,
2641.393811375776,20704.6285317934,640.5512652944572,7.563999999999675,14.999999999999996,2.1316282072803006e-14,0.0,702.916253166712,2457.6316589991175,1.0032277546987218,0.0,11.700000000000001,15.0,15.0,0.0,4.0,v15_thw0.78,released,580.6342666372745,10498.460050555579,98843.7033,1.0,0.78,A,,,,,,,,,
12365.098117491705,50911.33423476758,4637.6425504418075,7.56399999999968,14.999999999999996,-4.263256414560601e-14,0.0,1721.752110603344,4239.3060249040545,0.9992893043267399,0.0,9.200000000000001,10.0,10.0,0.0,4.0,v10_thw0.92,released,549.2441767808192,18318.665856716296,75690.64,0.9999,0.92,A,,,,,,,,,
13243.968347172227,250.71662991825303,2296.688789619979,7.563999999999663,15.000000000000007,-8.526512829121202e-14,0.0,13075.96244626434,448.5682101802401,0.9971173561056672,0.0,29.2,25.0,25.0,0.0,4.0,v25_thw1.17,released,363.01029733274447,107525.69275524645,59015.5245,1.0,1.168,A,,,,,,,,,
37701.5805802533,278.30089929919984,70423.24537607239,7.563999999999676,15.000000000000014,1.4210854715202004e-14,0.0,37557.959884662756,122.91696860505382,0.8959533308465489,0.0,24.2,20.0,20.0,0.0,4.0,v20_thw1.21,released,1587.827045564888,140732.750956817,85803.6283,1.0,1.21,A,,,,,,,,,
26321.60654802421,1712.4803538456342,70522.23072032254,7.563999999999673,14.999999999999993,2.1316282072803006e-14,0.0,22948.937894672104,642.5721339307024,0.9957297437713842,0.1406261792185854,19.2,15.0,15.0,0.0,4.0,v15_thw1.28,released,3427.41423879725,1942504.67688754,88655.5798,0.9999,1.28,A,,,,,,,,,
17782.980699031752,14681.841442178327,4180.742333839243,7.563999999999674,15.000000000000009,2.842170943040401e-14,0.0,14043.39144228163,1696.763785564821,0.9147110665890608,0.011818234244482953,14.2,10.0,10.0,0.0,4.0,v10_thw1.42,released,2161.4818026681855,41681.069129685886,65051.9362,0.9997,1.42,A,,,,,,,,,
34719.28273057733,101.92215865201405,104606.26993348912,7.563999999999671,15.000000000000007,-8.526512829121202e-14,0.0,34552.61672005474,82.63533526283429,0.9945041512050777,0.0,41.699999999999996,25.0,25.0,0.0,4.0,v25_thw1.67,released,1960.3448000922567,321251.26071653015,39518.5185,0.9999,1.668,A,,,,,,,,,
44306.97485093611,99.50090702789633,61262.80711535175,7.563999999999672,14.999999999999991,0.0,0.0,44236.22920786664,148.72091344689386,0.9513853562006687,0.0,34.2,20.0,20.0,0.0,4.0,v20_thw1.71,released,464.13998409898915,339434.2859997481,61477.2856,1.0,1.71,A,,,,,,,,,
47510.14677486758,70.86776642559036,39433.15445978168,7.563999999999671,14.999999999999996,2.1316282072803006e-14,0.0,46570.691145600635,2583.1509214023354,0.9287422481161068,0.05458987282255473,26.7,15.0,15.0,0.0,4.0,v15_thw1.78,released,22864.299253559053,165200.90617041243,68137.515,0.9999,1.78,A,,,,,,,,,
38510.733866007235,1799.3579087200387,64670.06940571153,7.5639999999996785,14.999999999999991,2.842170943040401e-14,0.0,29721.09233931123,520.3986466896998,0.960464724109147,0.026867134688027008,19.2,10.0,10.0,0.0,4.0,v10_thw1.92,released,3729.178059719086,91519.47773435111,50101.5957,1.0,1.92,A,,,,,,,,,
40478.092028815154,37.16817112661343,26137.54847418954,7.563999999999664,15.000000000000012,-9.237055564881302e-14,0.0,38125.73778286009,0.0,0.997871881309017,0.0,54.2,25.0,25.0,0.0,4.0,v25_thw2.17,released,10161.547323349734,196831.9346021445,25217.4785,0.9999,2.168,A,,,,,,,,,
69149.45512653785,31.691447801406902,91076.575806085,7.563999999999676,14.999999999999993,-2.1316282072803006e-14,0.0,43076.7791204735,12412.676193513395,0.981806590926654,0.0,44.2,20.0,20.0,0.0,4.0,v20_thw2.21,released,16961.9526371223,227870.39934504396,42966.794,0.9999,2.21,A,,,,,,,,,
