video,l0,ldot,trace,cp,e_t,lat_center,half_widths
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,1.6260000000000001,0.003333333333334447,LC_dv07_Tlc2p0_TTC02,CP1,15.033,3.508,1.882
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,1.3300000000000007,-0.9866666666666646,LC_dv07_Tlc2p0_TTC02,CP2,15.333,3.2120000000000006,1.882
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,0.8720000000000006,-1.6933333333333334,LC_dv07_Tlc2p0_TTC02,CP3,15.633,2.7540000000000004,1.882
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,0.39800000000000035,-1.5800000000000007,LC_dv07_Tlc2p0_TTC02,CP4,15.933,2.2800000000000002,1.882
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,-0.08100000000000063,-1.59666666666667,LC_dv07_Tlc2p0_TTC02,CP5,16.233,1.8009999999999993,1.882
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,1.6269999999999996,-2.960594732333751e-15,LC_dv07_Tlc2p0_TTC03,CP1,15.033,3.5089999999999995,1.882
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,1.3319999999999996,-0.9833333333333332,LC_dv07_Tlc2p0_TTC03,CP2,15.333,3.2139999999999995,1.882
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,0.8739999999999994,-1.6933333333333394,LC_dv07_Tlc2p0_TTC03,CP3,15.633,2.7559999999999993,1.882
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,0.39999999999999925,-1.5800000000000007,LC_dv07_Tlc2p0_TTC03,CP4,15.933,2.281999999999999,1.882
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,-0.08399999999999985,-1.6133333333333304,LC_dv07_Tlc2p0_TTC03,CP5,16.233,1.798,1.882
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,1.6289999999999993,0.0033333333333285253,LC_dv07_Tlc2p0_TTC04,CP1,15.067,3.5109999999999992,1.882
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,1.2409999999999994,-1.293333333333333,LC_dv07_Tlc2p0_TTC04,CP2,15.367,3.1229999999999993,1.882
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,0.7850000000000008,-1.6866666666666645,LC_dv07_Tlc2p0_TTC04,CP3,15.667,2.6670000000000007,1.882
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,0.3050000000000004,-1.6000000000000014,LC_dv07_Tlc2p0_TTC04,CP4,15.967,2.1870000000000003,1.882
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,-0.19100000000000006,-1.83333333333333,LC_dv07_Tlc2p0_TTC04,CP5,16.267,1.6909999999999998,1.882
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,1.6300000000000006,2.960594732333751e-15,LC_dv07_Tlc2p0_TTC05,CP1,15.067,3.5120000000000005,1.882
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,1.2420000000000007,-1.293333333333333,LC_dv07_Tlc2p0_TTC05,CP2,15.367,3.1240000000000006,1.882
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,0.3010000000000008,-1.596666666666664,LC_dv07_Tlc2p0_TTC05,CP4,15.967,2.1830000000000007,1.882
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,1.6330000000000007,0.003333333333334447,LC_dv07_Tlc2p0_TTC07,CP1,15.067,3.5150000000000006,1.882
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,0.7830000000000001,-1.6800000000000015,LC_dv07_Tlc2p0_TTC07,CP3,15.667,2.665,1.882
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,-0.18100000000000027,-1.8399999999999987,LC_dv07_Tlc2p0_TTC07,CP5,16.267,1.7009999999999996,1.882
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,1.6259999999999992,0.0033333333333285253,LC_dv07_Tlc3p0_TTC02,CP1,15.067,3.507999999999999,1.882
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,1.401999999999999,-0.7466666666666674,LC_dv07_Tlc3p0_TTC02,CP2,15.367,3.283999999999999,1.882
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,1.0950000000000013,-1.1166666666666607,LC_dv07_Tlc3p0_TTC02,CP3,15.667,2.977000000000001,1.882
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,0.7739999999999998,-1.0700000000000052,LC_dv07_Tlc3p0_TTC02,CP4,15.967,2.6559999999999997,1.882
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,0.44999999999999996,-1.2033333333333296,LC_dv07_Tlc3p0_TTC02,CP5,16.267,2.332,1.882
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,1.6270000000000004,2.960594732333751e-15,LC_dv07_Tlc3p0_TTC03,CP1,15.067,3.5090000000000003,1.882
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,1.3719999999999997,-0.8500000000000026,LC_dv07_Tlc3p0_TTC03,CP2,15.367,3.2539999999999996,1.882
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,1.0630000000000013,-1.139999999999993,LC_dv07_Tlc3p0_TTC03,CP3,15.667,2.945000000000001,1.882
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,0.7500000000000007,-1.0433333333333354,LC_dv07_Tlc3p0_TTC03,CP4,15.967,2.6320000000000006,1.882
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,0.42899999999999916,-1.1900000000000037,LC_dv07_Tlc3p0_TTC03,CP5,16.267,2.310999999999999,1.882
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,1.6280000000000008,2.960594732333751e-15,LC_dv07_Tlc3p0_TTC04,CP1,15.033,3.5100000000000007,1.882
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,1.4300000000000004,-0.6600000000000014,LC_dv07_Tlc3p0_TTC04,CP2,15.333,3.3120000000000003,1.882
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,1.123,-1.133333333333336,LC_dv07_Tlc3p0_TTC04,CP3,15.633,3.005,1.882
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,0.8089999999999999,-1.0466666666666669,LC_dv07_Tlc3p0_TTC04,CP4,15.933,2.691,1.882
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,0.4879999999999993,-1.070000000000002,LC_dv07_Tlc3p0_TTC04,CP5,16.233,2.369999999999999,1.882
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,1.6300000000000006,2.960594732333751e-15,LC_dv07_Tlc3p0_TTC05,CP1,15.067,3.5120000000000005,1.882
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,1.0559999999999998,-1.1366666666666674,LC_dv07_Tlc3p0_TTC05,CP3,15.667,2.9379999999999997,1.882
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,0.4200000000000006,-1.183333333333329,LC_dv07_Tlc3p0_TTC05,CP5,16.267,2.3020000000000005,1.882
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,1.631,-0.003333333333331486,LC_dv07_Tlc3p0_TTC06,CP1,15.067,3.513,1.882
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,1.365,-0.8866666666666667,LC_dv07_Tlc3p0_TTC06,CP2,15.367,3.247,1.882
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,0.7419999999999998,-1.053333333333336,LC_dv07_Tlc3p0_TTC06,CP4,15.967,2.6239999999999997,1.882
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,1.6259999999999992,0.0033333333333285253,LC_dv07_Tlc4p0_TTC02,CP1,15.067,3.507999999999999,1.882
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,1.429,-0.656666666666664,LC_dv07_Tlc4p0_TTC02,CP2,15.367,3.311,1.882
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,1.2020000000000006,-0.8399999999999993,LC_dv07_Tlc4p0_TTC02,CP3,15.667,3.0840000000000005,1.882
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,0.9690000000000001,-0.7766666666666685,LC_dv07_Tlc4p0_TTC02,CP4,15.967,2.851,1.882
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,0.7280000000000004,-0.8799999999999979,LC_dv07_Tlc4p0_TTC02,CP5,16.267,2.6100000000000003,1.882
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,1.6270000000000004,2.960594732333751e-15,LC_dv07_Tlc4p0_TTC03,CP1,15.067,3.5090000000000003,1.882
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,1.430999999999999,-0.6533333333333384,LC_dv07_Tlc4p0_TTC03,CP2,15.367,3.312999999999999,1.882
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,1.1990000000000005,-0.8566666666666627,LC_dv07_Tlc4p0_TTC03,CP3,15.667,3.0810000000000004,1.882
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,0.9669999999999994,-0.773333333333337,LC_dv07_Tlc4p0_TTC03,CP4,15.967,2.8489999999999993,1.882
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,0.7299999999999993,-0.8800000000000038,LC_dv07_Tlc4p0_TTC03,CP5,16.267,2.611999999999999,1.882
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,1.6280000000000008,2.960594732333751e-15,LC_dv07_Tlc4p0_TTC04,CP1,15.033,3.5100000000000007,1.882
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,1.4780000000000004,-0.5000000000000012,LC_dv07_Tlc4p0_TTC04,CP2,15.333,3.3600000000000003,1.882
