video,cp,ttc_start,ttc_true,distance,dv_kph,lcd,p,n,deficit_max,deficit_horizon,p_lane_end,p_lane_end_h,p_lane_max_h
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,2.0,2.0,3.888888888888889,7.0,2.0,0.0,21,1033.5053644621973,1033.5053644621973,0.0,0.0,0.0
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,2.0,1.7,3.305555555555556,7.0,2.0,0.9545454545454546,11,7079.025514225905,7079.025514225905,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,2.0,1.4,2.722222222222222,7.0,2.0,0.85,10,7079.025514225905,7079.025514225905,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,2.0,1.1,2.138888888888889,7.0,2.0,1.0,11,7347.761751706672,7347.761751706672,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,2.0,0.8,1.5555555555555556,7.0,2.0,0.85,10,7347.761751706672,7347.761751706672,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,3.0,3.0,5.833333333333333,7.0,2.0,0.023809523809523808,21,1033.5053644620423,1033.5053644620423,0.0,0.0,0.0
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,3.0,2.7,5.25,7.0,2.0,0.8181818181818182,11,6696.917982603075,6696.917982603075,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,3.0,2.4,4.666666666666666,7.0,2.0,0.75,10,6696.917982603075,6696.917982603075,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,3.0,2.1,4.083333333333333,7.0,2.0,0.9545454545454546,11,7018.9145252228745,7018.9145252228745,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,3.0,1.8,3.5,7.0,2.0,0.8,10,7018.9145252228745,7018.9145252228745,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,4.0,4.0,7.777777777777778,7.0,2.0,0.0,21,991.9828671669591,991.9828671669591,0.0,0.0,0.0
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,4.0,3.7,7.194444444444445,7.0,2.0,0.8636363636363636,11,5347.9403237757415,5347.9403237757415,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,4.0,3.4,6.611111111111111,7.0,2.0,0.7,10,5450.713741168732,5450.713741168732,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,4.0,3.1,6.027777777777778,7.0,2.0,0.8181818181818182,11,6455.545624709077,6455.545624709077,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,4.0,2.8,5.444444444444444,7.0,2.0,0.85,10,6532.034410554794,6532.034410554794,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,5.0,5.0,9.72222222222222,7.0,2.0,0.0,11,1005.6933146023938,1005.6933146023938,0.0,0.0,0.0
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,5.0,4.7,9.13888888888889,7.0,2.0,0.8181818181818182,11,4864.094977142895,4864.094977142895,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,5.0,4.1,7.972222222222221,7.0,2.0,0.8636363636363636,11,5918.046503488851,5918.046503488851,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,7.0,7.0,13.61111111111111,7.0,2.0,0.0,10,1033.5053644621973,1033.5053644621973,0.0,0.0,0.0
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,7.0,6.4,12.444444444444445,7.0,2.0,0.4,10,4724.035551924946,4724.035551924946,1.0,1.0,1.0
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,7.0,5.8,11.277777777777777,7.0,2.0,0.35,10,5073.66567698928,5073.66567698928,1.0,1.0,1.0
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,2.0,2.0,3.888888888888889,7.0,3.0,0.0625,24,1033.5053644621973,1033.5053644621973,0.0,0.0,0.0
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2.0,1.7,3.305555555555556,7.0,3.0,0.75,12,6141.093215446414,6141.6558033760875,0.9664906105429447,0.9809206708185197,0.9958750263522848
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,2.0,1.4,2.722222222222222,7.0,3.0,0.9166666666666666,12,7121.5616465554085,7150.899375707146,0.9978319726338282,1.0,1.0
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,2.0,1.1,2.138888888888889,7.0,3.0,0.875,12,7299.899077556313,7321.0816626591895,0.9992862230536762,1.0,1.0
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,2.0,0.8,1.5555555555555556,7.0,3.0,0.9583333333333334,12,7299.899077556313,7321.0816626591895,0.9995476487041854,1.0,1.0
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,3.0,3.0,5.833333333333333,7.0,3.0,0.041666666666666664,24,991.9828671669591,991.9828671669591,0.0,0.0,0.0
