driver,level_cutin_log_first_exposure,level_cutin_log_pooled,level_ltap_pet_s_first_exposure,level_ltap_pet_s_pooled
1317363,-3.9363369524647,-4.000950479997648,1.4902030879349366,1.2527310470018813
1317367,-4.4003726906119995,-4.4655312546595,3.8606402321527886,3.5553249558692124
1317386,-3.592571655197909,-3.664790576255706,2.934408811325481,2.792423857538863
1317403,-3.6294994962746037,-3.691379420551086,4.850035612165285,4.616701089450078
1331199,-3.1955641265398773,-3.268653415914354,1.9030667579905693,1.6641498250705977
1331200,-3.4244558506308422,-3.4267834764165164,2.5024800350003433,2.1772037684307186
1331202,-2.8344387601826098,-2.910721403056805,1.4912167806528,1.2525106380454096
1331203,-3.117001740148906,-3.1855251563043208,0.6812183258338618,0.4418325727604435
1331204,-2.35756840354375,-2.4331563963570706,1.575475561612901,1.3424914252076026
1331205,-4.014918597755665,-4.081306033768987,3.7133135298649234,3.4965020827189934
1331207,-3.76257037523341,-3.830997163599756,3.2515203841681353,2.960358754176655
1331209,-4.5841621403231,-4.654166116934937,4.072253267021204,3.6093526536267495
1331210,-4.58429280031433,-4.654069477666275,3.8012631052054084,3.663831151538357
1331212,-4.427373424318434,-4.490192946320546,2.8067083019157195,2.5635795284535536
1331213,-4.030956286596542,-4.10557842768262,4.2544583306210235,3.9968066950832792
1331214,-3.169454386868228,-3.240365780769097,3.7939004470443183,3.5372468539382163
1331216,-3.6067892409296425,-3.6824974588569632,1.7122064619846002,1.479129474511557
1331217,-1.9825850251772332,-2.0636583249330505,-0.43210825116479656,-0.6592930270626017
1331219,-3.5503368266050495,-3.621861253242981,2.797370850923779,2.7106925313084034
1331222,-1.222847636385072,-1.3004294642400085,-0.10378703989386215,-0.3303643744078286
1331223,-3.9174221141627785,-3.9856586742407583,1.9609155307365689,1.691948798082461
1331224,-4.253559291256375,-4.283027716811155,2.2762501176953243,2.5729783199731653
1331225,-2.7973702808399716,-2.8706413239264728,2.244896544907143,1.8224338255027674
1331227,-3.5201492660670177,-3.5869620766156363,4.106773033918464,3.8058000841196438
1331228,-3.444849348932361,-3.5106629768490727,3.937507463113366,3.696891795579225
1331229,-2.797034552338322,-2.87155272369364,2.001596918891177,1.6908433464451766
1331230,-2.77138101551492,-2.8429189563838606,1.0632673887968567,0.8240985473604527
1331231,-2.685200084013785,-2.7584401868181287,2.9694183262246705,2.7867798210640857
1331232,-1.9750280563551612,-2.0495524275343135,0.4721485252461043,0.23954391090659619
1331233,-2.6240886086230337,-2.696671502749634,3.314650367342501,3.0774162457752485
1331234,-3.5728715599867047,-3.6486744964644644,1.9982007352023674,1.7849627120547742
1331235,-3.611281542041393,-3.685344818577882,2.413113781522183,2.130488814704945
1331236,-3.1558371090795427,-3.2275118341156075,1.2290117179753635,0.9985278953007538
1331237,-4.3429628122433845,-4.412509872887024,2.798889352189637,2.669105096421285
1331241,-3.9154633716818044,-3.962333742204955,4.471736944841628,4.38519068779262
1331242,-4.831104864704222,-4.9085088196534485,4.850035612165285,4.616701089450078
1331243,-3.9651623802214133,-4.036044817554341,2.6953652456476074,2.4387515495566867
1331244,-3.2100017926888293,-3.283507360908369,3.043603243480458,2.783191665457527
1331246,-3.5648079066560587,-3.635002430730367,1.5279246286024952,1.2891324022169985
1331247,-2.8988359730406374,-2.972794126596513,1.1572857339783869,0.6706765519169068
1331249,-2.283741628563215,-2.3519936909780825,1.5751948710189534,1.3369171507421356
1331252,-4.5593931898982625,-4.633379973015674,3.936411954247325,3.6657156101213353
1331255,-2.375279357030918,-2.4482843734611235,-0.9278319117580907,-1.1564188436750769
