video,trace,cp,lcd,s_t,e_t,t_kin,on_world_0.05,on_world_0.1,on_world_0.2,on_world_0.4,on_joint_0.05,on_joint_0.1,on_joint_0.2,on_joint_0.4,on_relative_0.05,on_relative_0.1,on_relative_0.2,on_relative_0.4,theta_e,theta_dot_e,theta_on_world_0.05,theta_on_world_0.1,theta_on_world_0.2,theta_on_world_0.4,theta_on_joint_0.05,theta_on_joint_0.1,theta_on_joint_0.2,theta_on_joint_0.4,theta_on_relative_0.05,theta_on_relative_0.1,theta_on_relative_0.2,theta_on_relative_0.4
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,LC_dv07_Tlc2p0_TTC02,CP1,2.0,5.033,15.033,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.3440543529212569,0.11241477375294628,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,LC_dv07_Tlc2p0_TTC02,CP2,2.0,5.333,15.333,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.38297102012383105,0.14003298673441986,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,LC_dv07_Tlc2p0_TTC02,CP3,2.0,5.633,15.633,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.4327351926898353,0.17789055654663938,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,LC_dv07_Tlc2p0_TTC02,CP4,2.0,5.933,15.933,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.49641586139220834,0.23255867528634802,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,LC_dv07_Tlc2p0_TTC02,CP5,2.0,6.233,16.233,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.5825043877806093,0.31738195750327014,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933,0.36880465891906156,0.3781809868308557,0.3982541769248051,0.43909513994637933
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,LC_dv07_Tlc2p0_TTC03,CP1,2.0,5.033,15.033,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.2540194451727986,0.0615538167041092,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,LC_dv07_Tlc2p0_TTC03,CP2,2.0,5.333,15.333,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.274778671023275,0.07251783666433147,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,LC_dv07_Tlc2p0_TTC03,CP3,2.0,5.633,15.633,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.29944155822441026,0.07901935078599732,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,LC_dv07_Tlc2p0_TTC03,CP4,2.0,5.933,15.933,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.328355663311716,0.1027643365800674,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,LC_dv07_Tlc2p0_TTC03,CP5,2.0,6.233,16.233,15.267,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,15.233,15.3,15.433,15.667,0.36449613045345297,0.12643609383145735,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935,0.26755712004857535,0.27225052015613926,0.2826088238202766,0.30245045345044935
