p_change,x_rel,y_rel,vy_oth,v_ego,v_oth,dg_A,G_A_continue,G_A_ease_off,G_A_brake,G_A_brake_hard,dg_B,G_B_continue,G_B_ease_off,G_B_brake,G_B_brake_hard,video,trace,e_t,cp,p,n,ttc_start,ttc_true,distance,dv_kph,lcd
0.07000000000000002,10.222351797381462,3.5011409184109388,0.004232281883507101,26.796,24.991,9515.270031345379,23677.061250133804,14161.791218788425,20580.379825855336,62018.009856000084,8436.79691203191,11342.777002844086,2905.980090812176,20307.625099442394,62018.009856000084,LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,LC_dv07_Tlc2p0_TTC02,15.033,CP1,0.0,21,2.0,2.0,3.888888888888889,7.0,2.0
1.0,9.660391353928892,3.2048006004953082,-0.9852701196991885,26.796,24.977,141248.3365893804,164124.7620910463,72472.4078132214,22876.425501665883,62018.009856000084,57640.276730776284,64193.875600800966,6553.598870024684,20309.305236416614,62018.009856000084,LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,LC_dv07_Tlc2p0_TTC02,15.333,CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,2.0
1.0,9.087151187101881,2.7468935732482476,-1.5240312751011829,26.796,24.98,138268.59593633364,161979.43658773578,77157.72653927878,23710.840651402148,62018.009856000084,62235.742981055795,69804.42420205621,7568.681221000417,20312.247698057785,62018.009856000084,LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,LC_dv07_Tlc2p0_TTC02,15.633,CP3,0.85,10,2.0,1.4,2.722222222222222,7.0,2.0
1.0,8.518697012668875,2.2736512939204876,-1.578588381395977,26.796,24.983,133043.45086110156,157882.13776968422,82760.15356928048,24838.686908582662,62018.01998609452,67006.03654730834,76770.09467574707,9764.058128438724,20320.08799083272,62018.01998609452,LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,LC_dv07_Tlc2p0_TTC02,15.933,CP4,1.0,11,2.0,1.1,2.138888888888889,7.0,2.0
1.0,7.9441164086994,1.7960691760154126,-1.5954786911756704,26.796,24.985,127756.90336607459,153555.33859112824,87043.43952252791,25798.435225053643,62018.17329230404,69914.40558643405,82839.36608431108,12924.960497877037,20334.49622908545,62018.17329230404,LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,LC_dv07_Tlc2p0_TTC02,16.233,CP5,0.85,10,2.0,0.8,1.5555555555555556,7.0,2.0
0.07000000000000002,12.175350978152709,3.500833980467499,0.0012367870960605547,26.796,24.991,12496.781757697361,27092.063082825076,14595.281325127715,20308.118187444594,62018.009856000084,6991.619969099989,9680.031934326811,2688.411965226822,20307.599999999995,62018.009856000084,LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,LC_dv07_Tlc2p0_TTC03,15.033,CP1,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0,2.0
1.0,11.612392302410687,3.2053456935116,-0.9819343028203885,26.796,24.977,150407.43037837383,171001.4920617366,61745.78721459045,20594.061683362772,62018.009856000084,44454.329719076944,48937.12798609874,4482.7982670218,20307.60168202662,62018.009856000084,LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,LC_dv07_Tlc2p0_TTC03,15.333,CP2,0.8181818181818182,11,3.0,2.7,5.25,7.0,2.0
1.0,11.044153353885653,2.7473581302511185,-1.5240398397156687,26.651,24.98,147607.61134128575,168147.10050492638,59707.45221953815,20539.48916364062,61894.01281600004,43551.57678569863,47838.263400346485,4286.686614647856,20307.60027354131,61894.01281600004,LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,LC_dv07_Tlc2p0_TTC03,15.633,CP3,0.75,10,3.0,2.4,4.666666666666666,7.0,2.0
1.0,10.485700065243185,2.274175486139682,-1.5786115007208479,26.793,24.983,146444.44145987878,168497.08512997834,70530.25810340847,22052.643670099547,62015.43758400001,52225.16104993244,57839.5543183347,5614.393268402267,20307.84935759348,62015.43758400001,LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,LC_dv07_Tlc2p0_TTC03,15.933,CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,2.0
1.0,9.911114167551263,1.79184819607131,-1.6121453546314244,26.796,24.985,143417.5441735438,166109.9250888398,74331.61568377934,22692.38091529599,62018.009856000084,56587.026033390706,62922.23036953586,6335.204336145147,20308.839105093786,62018.009856000084,LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,LC_dv07_Tlc2p0_TTC03,16.233,CP5,0.8,10,3.0,1.8,3.5,7.0,2.0
