video,cp,dg,G_continue,best,dg_project
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,1035185.9491195873,1055493.814595759,brake,9515.270031345379
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,61891.11346887408,82200.4187052907,brake,141248.3365893804
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,68403.25748565166,88765.05456890081,brake,138268.59593633364
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,74179.33233792591,96234.78591660947,brake,133043.45086110156
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,77414.48205940466,100910.92634703644,brake,127756.90336607459
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,1380215.27447291,1396373.1334913238,ease_off,12496.781757697361
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,55605.23634261156,73779.34370484276,ease_off,150407.43037837383
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,55200.080348311385,75021.47062191504,ease_off,147607.61134128575
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,64738.11544408703,85583.93746819418,brake,146444.44145987878
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,67555.57708575088,89774.40646621028,brake,143417.5441735438
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,654578.8098692569,659023.6551518628,ease_off,15335.084111087202
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,52788.457397861246,68743.63222523441,ease_off,152185.5523231902
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,53050.85159122333,71559.22123106752,ease_off,150597.24497668073
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,59139.31890554605,79541.27650067114,brake,151726.16871507664
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,62269.38718518129,83673.5974408635,brake,150970.5725350426
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,3898603.1930867094,3902580.6817429843,ease_off,19626.221044294653
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,50009.800131712596,63073.07281380635,ease_off,149561.4847642389
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,52980.43822213344,73288.03822213343,brake,151695.129847488
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,1736710.7574260787,1740697.3180377334,ease_off,24798.817949004526
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,49688.75102301044,60398.29179050638,ease_off,138590.0640474849
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,49755.69224492919,66710.24420632242,ease_off,143894.5443843423
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,43500798.18827484,43521105.84837524,brake,9944.081619206452
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,61900.31716042031,82209.98104048762,brake,140008.9215440288
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,69107.13502499484,89434.08857727458,brake,135966.3265120116
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,72763.484542933,93269.10676325737,brake,131517.9893967343
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,78546.63750697092,100740.09012692858,brake,126814.30184905186
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,777208.3738523937,782547.4897421018,ease_off,11937.14403353232
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,55667.013660553566,73666.36160392253,ease_off,149996.8862413695
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,59237.86094624316,79545.54848558844,brake,147994.66754463213
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,62460.12809764462,82788.19048110928,brake,145537.95646882502
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,68233.24582929563,89367.45629713795,brake,142780.60379113143
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,717281.8351797236,721229.1061662064,ease_off,16466.64384715108
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,49839.49374922157,62446.6848338712,ease_off,148109.36794257368
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,52917.945992356224,69441.37186218596,ease_off,151230.9814042552
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,52571.460469438694,70571.11652821765,ease_off,149060.045483447
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,58302.7109217556,78625.76295565578,brake,151033.79026591626
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,748625.1432968713,752748.3872164243,ease_off,19564.29619332358
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,51314.42290770202,66604.04561663594,ease_off,151283.02234350142
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,54280.443270878284,74588.04327087828,brake,152550.17991475918
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,21711430.645586614,21731738.245586615,brake,24390.99319268362
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,47161.60020552674,55276.753984757335,ease_off,137664.83011560986
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,49074.37666847372,62173.80267416258,ease_off,143085.21242884744
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,570139.5982783416,584643.3041600687,ease_off,9473.417897457037
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,61586.49523029546,81896.15836075708,brake,139599.92666715514
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,68044.41797065732,88365.18433640519,brake,134968.76379022244
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,71326.110664362,91687.55684979273,brake,130330.73709193937
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,77623.86456107833,98447.86914640668,brake,125309.69070382771
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,317535.66220910277,323152.52675712877,ease_off,11914.702653171289
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,55394.62711178453,72938.58754861019,ease_off,149794.94862323444
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,57784.406927650154,78071.10460921245,ease_off,147917.91784957552
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,56440.24246363813,76747.8598371656,brake,144668.71056275352
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,66523.46373106925,86905.97583420803,brake,142871.27133690641
