video,cp,dg,G_continue,dg_released
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,2421.397465027727,13412.734120983245,1162972.6659832734
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,110417.78847102587,133158.04163914392,63647.102255811515
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,109840.63254280796,133410.6340029904,87100.79692209433
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,103715.4437282804,128389.61281944055,418759.0750935814
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,102816.51890646419,128447.23427132181,1646320.7359294812
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,5182.901467859956,18013.62791998179,1383871.2387898646
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,119977.2752783251,140592.77194670693,56625.570930200316
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,78210.37165016087,98697.94890304076,473666.8584991678
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,70050.97945273756,91994.44518047002,10432561.427742235
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,58172.77506188065,80746.16776100747,4249674.29251139
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,8866.461888452242,21580.864304277184,653257.1135927166
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,95490.24645975782,115797.84645975781,79226.57051258525
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,66437.1881927355,86744.78819273549,5518293.334047265
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,49921.44673129813,70263.57108208748,30347198.534200188
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,37587.27288702151,58372.27565894487,22017955.345944144
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,14509.528756483696,25215.036337633923,3901721.9021739797
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,83188.70075695269,103496.30075695268,18729302.268813066
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,41253.25147563398,61560.85147563397,10958932.742278457
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,22104.4823506289,26769.32761046008,1733746.8098430191
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,47926.7020321749,61155.23186280895,342971.02757420094
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,24110.074834212268,40017.30245298447,5723959.450363431
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,2792.172000859031,13771.407205072319,43537832.51356796
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,85340.87105775645,107770.34989276787,197447.31552101392
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,110722.88801801486,134816.29446866765,103445.86940849884
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,113871.89153322125,138594.44463098838,69275.83128127095
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,114239.40855122029,140273.62717428448,99236.48574576744
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,4586.337519543704,17375.705404735047,16743675.887506649
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,113483.52415570454,134185.22210050919,125582.79788671412
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,120825.77495768193,142520.2312056689,80499.611320157
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,118996.4022114083,141057.5637622926,145378.42929949448
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,117800.58597882489,140759.29273897668,80027.8114775089
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,10240.700297221134,22917.18585428036,29430466.844024934
