cell,trace,pet,speed_kph,p,n,d_onc,t_sep,s_conf_m,s_stop_m,a_wait,wait_nominal_ok,tau_in_s,v_ego,v_onc,dg_A,G_A_proceed,G_A_wait,dg_B,G_B_proceed,G_B_wait,collide_share_proceed,first_collision_tau,x_A,pred_A,x_B,pred_B,scenario,clearance,timepoint,clearance_m,y_offset_m,v_cyc,y_rel,G_A_continue,G_A_abort,G_B_continue,G_B_abort
50 km/h PET 0.0,IntersectionLeftTurnPET0,0.0,50.0,0.8837209302325582,172.0,41.1843383560578,0.7009999999999987,11.878072079166937,8.374159391865302,-3.6375484055961134,False,1.902000000000001,7.805307187303693,13.878134290879634,78722.56413872511,195265.27394791832,116542.70980919321,78722.56413872511,195265.27394791832,116542.70980919321,0.65,2.4000000000000004,11.679150212204286,0.8228602611384347,11.679150212204286,0.8228602611384347,ltap,,,,,,,,,,
50 km/h PET 0.5,IntersectionLeftTurnPET0.5,0.5,50.0,0.9069767441860465,172.0,49.005728324254356,1.4009999999999998,11.141858855010357,7.637946167708721,-3.8148111227044663,False,1.8020000000000014,7.633783072002136,13.87773182550642,0.0,80453.8789034737,89846.27870393996,0.0,80453.8789034737,89846.27870393996,0.29,3.0,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 1.0,IntersectionLeftTurnPET1,1.0,50.0,0.8197674418604651,172.0,53.215324512549806,1.7020000000000017,10.838082544996695,7.334169857695059,-4.01546042636339,False,1.7020000000000017,7.674642509433482,13.877618332493718,0.0,37579.80198804851,78590.6185486412,0.0,37579.80198804851,78590.6185486412,0.12,3.2,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 1.5,IntersectionLeftTurnPET1.5,1.5,50.0,0.6569767441860465,172.0,63.586438328027725,2.402000000000001,10.856976992896595,7.353064305594959,-4.044197457569979,False,1.7020000000000017,7.711970431742551,13.877641222637724,0.0,6114.043106522497,50879.05783653267,0.0,6114.043106522497,50879.05783653267,0.015,3.8000000000000003,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 2.0,IntersectionLeftTurnPET2,2.0,50.0,0.6046511627906976,172.0,70.5656210503408,2.9029999999999987,10.863450483498319,7.359537796196683,-4.056661275992303,False,1.7020000000000017,7.727244267788203,13.877702256577306,0.0,4250.440499026243,33949.551569986215,0.0,4250.440499026243,33949.551569986215,0.005,4.4,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 2.5,IntersectionLeftTurnPET2.5,2.5,50.0,0.5058139534883721,172.0,81.14544179184097,3.705,10.94438849894083,7.440475811639194,-4.059536462667661,False,1.7020000000000017,7.772371949018661,13.87767459944951,0.0,2939.8068742571604,16407.000507296947,0.0,2939.8068742571604,16407.000507296947,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 3.0,IntersectionLeftTurnPET3,3.0,50.0,0.4418604651162791,172.0,83.42481976747513,4.004,10.835814259229783,7.331901571928148,-4.025215976533496,False,1.7020000000000017,7.682771289801127,13.877640260749963,0.0,3123.4301550306322,14483.998373752951,0.0,3123.4301550306322,14483.998373752951,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 3.5,IntersectionLeftTurnPET3.5,3.5,50.0,0.3372093023255814,172.0,92.12564763852528,4.504999999999999,10.947814961489016,7.44390227418738,-4.039622133060702,False,1.7020000000000017,7.755069617114759,13.877617378051804,0.0,2918.2277023755264,10975.745634238006,0.0,2918.2277023755264,10975.745634238006,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
50 km/h PET 4.0,IntersectionLeftTurnPET4,4.0,50.0,0.2558139534883721,172.0,98.19991253955024,4.905000000000001,10.652608881704115,7.148696194402479,-4.172867970445388,False,1.7020000000000017,7.724061804525769,13.877625961366023,0.0,2657.4572372241564,11020.332871905266,0.0,2657.4572372241564,11020.332871905266,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 0.0,IntersectionLeftTurnPET0-70kph,0.0,70.0,0.7965116279069767,172.0,55.39522775581905,0.6999999999999993,10.713100820516022,7.209188133214386,-4.055811082288898,False,1.7020000000000017,7.647104697203579,19.437370401888813,98561.18161280474,250406.2046914285,151845.02307862375,98561.18161280474,250406.2046914285,151845.02307862375,0.65,2.6,11.83444694886274,0.8582249222968883,11.83444694886274,0.8582249222968883,ltap,,,,,,,,,,
