video,cp,n_windows,vy_last,p_now,gp_1,gc_1,gp_2,gc_2,gp_3,gc_3,gp_4,gc_4,gp_6,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,50,0.004232281883507101,6.52721268092632e-05,0.023963704454971375,0.085,0.047290964433755744,0.085,0.07006070307793245,0.085,0.09228624514312314,0.085,0.135156453862477,0.085,0.0,21,2.0,2.0,3.888888888888889,7.0,2.0,-1.4758358334005228,0.06654594577985293
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,51,-0.9852701196991885,0.3115303153411385,0.3279847355249502,0.31,0.3440458951925497,0.31,0.3597231932672587,0.31,0.37502580403820357,0.31,0.40454256973855046,0.31,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,2.0,-1.1718197333747336,0.9638297846821879
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,52,-1.5240312751011829,0.9995726630548643,0.999582876404576,1.0,0.9995928456553079,1.0,0.9996025766410237,1.0,0.9996120750562556,1.0,0.9996303962761521,1.0,0.85,10,2.0,1.4,2.722222222222222,7.0,2.0,-0.818459091831626,0.9999946125945988
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,53,-1.578588381395977,0.9999999911680667,0.9999999913791499,1.0,0.999999991585188,1.0,0.9999999917863021,1.0,0.9999999919826094,1.0,0.9999999923612609,1.0,1.0,11,2.0,1.1,2.138888888888889,7.0,2.0,-0.4001972745314972,0.9999971383767287
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,54,-1.5954786911756704,0.9999999999998384,0.9999999999998422,1.0,0.999999999999846,1.0,0.9999999999998497,1.0,0.9999999999998532,1.0,0.9999999999998602,1.0,0.85,10,2.0,0.8,1.5555555555555556,7.0,2.0,0.1018040459973522,0.9999998018297924
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,50,0.0012367870960605547,6.673818791111439e-05,0.023965135477224134,0.085,0.04729236125458764,0.085,0.07006206651475717,0.085,0.0922875759938182,0.085,0.135157721858724,0.085,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0,2.0,-2.2555553199780123,0.06772784818573346
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,51,-0.9819343028203885,0.3041936095366411,0.32082337693291874,0.305,0.33705569301595084,0.305,0.3529000568690761,0.305,0.36836574054761423,0.305,0.39819705288824064,0.305,0.8181818181818182,11,3.0,2.7,5.25,7.0,2.0,-2.0507658466895697,0.962857051757218
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,52,-1.5240398397156687,0.9995596859591815,0.9995702094613805,1.0,0.9995804814519577,1.0,0.9995905079420389,1.0,0.999600294799084,1.0,0.9996191723860961,1.0,0.75,10,3.0,2.4,4.666666666666666,7.0,2.0,-1.8234337124089448,0.9999945622056106
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,53,-1.5786115007208479,0.99999999090492,0.9999999911222923,1.0,0.9999999913344695,1.0,0.9999999915415756,1.0,0.9999999917437319,1.0,0.9999999921336653,1.0,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,2.0,-1.5682605400132,0.9999971108527652
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,54,-1.6121453546314244,0.9999999999998641,0.9999999999998673,1.0,0.9999999999998705,1.0,0.9999999999998737,1.0,0.9999999999998767,1.0,0.9999999999998824,1.0,0.8,10,3.0,1.8,3.5,7.0,2.0,-1.278005697428891,0.9999998506317893
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,50,0.004485825744512014,6.513673334671451e-05,0.023963572297411542,0.085,0.047290835434760585,0.085,0.07006057716201228,0.085,0.0922861222365925,0.085,0.13515633676067124,0.085,0.0,21,4.0,4.0,7.777777777777778,7.0,2.0,-2.819761432955759,0.06615554628018201
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,51,-1.29191522197877,0.926246118922047,0.9280088361142279,0.895,0.929729424379033,0.895,0.9314088905975036,0.895,0.9330482175862319,0.895,0.9362102682556784,0.895,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0,2.0,-2.6662696454454218,0.9975699394498705
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,52,-1.5137004858804244,0.999976629958942,0.9999771885027441,1.0,0.9999777336973535,1.0,0.999978265861816,1.0,0.999978785307552,1.0,0.999979787251489,1.0,0.7,10,4.0,3.4,6.611111111111111,7.0,2.0,-2.5002492060565444,0.9999960649379483
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,53,-1.598574354781786,0.9999999996439024,0.9999999996524132,1.0,0.9999999996607205,1.0,0.9999999996688292,1.0,0.9999999996767442,1.0,0.9999999996920111,1.0,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0,2.0,-2.3195237816851915,0.999998640030944
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,54,-1.6452253106733914,0.9999999999999967,0.9999999999999968,1.0,0.9999999999999968,1.0,0.9999999999999969,1.0,0.999999999999997,1.0,0.9999999999999971,1.0,0.85,10,4.0,2.8,5.444444444444444,7.0,2.0,-2.121315140754475,0.9999999981713319
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,50,0.0011524930533690608,6.677031057255129e-05,0.02396516683215421,0.085,0.04729239186013513,0.085,0.0700620963888323,0.085,0.09228760515390318,0.085,0.13515774964161387,0.085,0.0,11,5.0,5.0,9.72222222222222,7.0,2.0,-3.2608415070219836,0.06733209223175622
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,51,-1.2919127390495995,0.9262598751819668,0.9280222635996411,0.895,0.9297425309476479,0.895,0.9314216839192292,0.895,0.9330607051476663,0.895,0.9362221660448831,0.895,0.8181818181818182,11,5.0,4.7,9.13888888888889,7.0,2.0,-3.1383125851464975,0.9975622879137458
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,53,-1.595255043433191,0.9999999997012985,0.9999999997084374,1.0,0.9999999997154058,1.0,0.9999999997222075,1.0,0.9999999997288468,1.0,0.9999999997416531,1.0,0.8636363636363636,11,5.0,4.1,7.972222222222221,7.0,2.0,-2.8684512727566536,0.9999985991644639
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,50,0.0044858257445194154,6.513673334680964e-05,0.023963572297411636,0.085,0.04729083543476067,0.085,0.07006057716201237,0.085,0.09228612223659258,0.085,0.13515633676067132,0.085,0.0,10,7.0,7.0,13.61111111111111,7.0,2.0,-3.9292297803881033,0.0656377762174264
