video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,gate_g1,pred_B-log,pred_B-lin,pred_C,pred_C-log
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,0.30980266975161547,0.9638297846821879,0.9235149637499391,0.9638297847549158,0.9638155542457001,0.9164149975771927
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.85,10,2.0,1.4,2.722222222222222,7.0,0.44111084238872766,0.9999946125945988,0.9765646181219911,0.9999946125946114,0.9999945486138947,0.968836386540485
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,11,2.0,1.1,2.138888888888889,7.0,0.6701878220052501,0.9999971383767287,0.9892181636655984,0.9999971383767353,0.9999971383726499,0.9821609524195033
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,0.85,10,2.0,0.8,1.5555555555555556,7.0,1.107166496763433,0.9999998018297924,0.996216815053993,0.9999998018297929,0.9999998018297924,0.991047939100927
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.8181818181818182,11,3.0,2.7,5.25,7.0,0.1286363501312956,0.962857051757218,0.8190347592696472,0.9385548423670766,0.9280570054964286,0.819242044982286
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.75,10,3.0,2.4,4.666666666666666,7.0,0.16147035518266575,0.9999945622056106,0.885202994892812,0.9962034118134384,0.988799624273064,0.8824055473821397
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,0.20840738355309427,0.9999971108527652,0.9167566117865776,0.9998854911103618,0.9979697024783496,0.9108441510849599
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.8,10,3.0,1.8,3.5,7.0,0.2785923442350108,0.9999998506317893,0.9441738363442047,0.9999997601494611,0.9998462442887325,0.9355946706967695
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0,0.06951104310438115,0.9975699394498705,0.7266778803908012,0.7476735667479107,0.7516563815260755,0.7311763048633776
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.7,10,4.0,3.4,6.611111111111111,7.0,0.08206454509376793,0.9999960649379483,0.7664809547998455,0.8294898313495975,0.8287573997990549,0.7707149895204558
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0,0.09832039643089004,0.999998640030944,0.8042942017360752,0.9055401161011527,0.8977629867657749,0.80750440989224
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.85,10,4.0,2.8,5.444444444444444,7.0,0.11987387378254959,0.9999999981713319,0.8411906811919695,0.9635345993849176,0.9509051429347605,0.8426216249818461
