cp,p,n,ttc_start,ttc_true,distance,lcd,gate_E,gate_G,gate_R,gate_G.1,gate_JJ.6e
CP1,0.0,21,2.0,2.0,3.888888888888889,2.0,0.005694724357352188,6.096653555844085e-06,5.430081348002945e-13,0.06654594577985293,0.049213760811714385
CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,2.0,0.997123291430244,0.999993438996599,0.999999999999344,0.9638297846821879,0.9501659335073478
CP3,0.85,10,2.0,1.4,2.722222222222222,2.0,0.9999961887803792,1.0,1.0,0.9999946125945988,0.9999893355486987
CP4,1.0,11,2.0,1.1,2.138888888888889,2.0,0.9999969510243034,1.0,1.0,0.9999971383767287,0.9999942235418419
CP5,0.85,10,2.0,0.8,1.5555555555555556,2.0,0.9999992377560758,1.0,1.0,0.9999998018297924,0.9999995677253504
CP1,0.0238095238095238,21,3.0,3.0,5.833333333333333,2.0,0.005821256848761669,6.8056472489323495e-06,7.208909158999255e-13,0.06772784818573346,0.05014654965977478
CP2,0.8181818181818182,11,3.0,2.7,5.25,2.0,0.9970485915256769,0.9999924071261023,0.9999999999990444,0.962857051757218,0.9489066208073087
CP3,0.75,10,3.0,2.4,4.666666666666666,2.0,0.9999961887803792,1.0,1.0,0.9999945622056106,0.9999892389400007
CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,2.0,0.9999969510243034,1.0,1.0,0.9999971108527652,0.9999941696852653
CP5,0.8,10,3.0,1.8,3.5,2.0,0.9999992377560758,1.0,1.0,0.9999998506317893,0.9999996716286593
CP1,0.0,21,4.0,4.0,7.777777777777778,2.0,0.005640605038737201,5.876407930659994e-06,4.939009518020888e-13,0.06615554628018201,0.04890592849595861
CP2,0.8636363636363636,11,4.0,3.7,7.194444444444445,2.0,0.9998117257507341,0.9999999999991418,1.0,0.9975699394498705,0.9961580928202879
CP3,0.7,10,4.0,3.4,6.611111111111111,2.0,0.9999961887803792,1.0,1.0,0.9999960649379483,0.9999921340094402
CP4,0.8181818181818182,11,4.0,3.1,6.027777777777778,2.0,0.9999969510243034,1.0,1.0,0.999998640030944,0.9999971926735736
CP5,0.85,10,4.0,2.8,5.444444444444444,2.0,1.0,1.0,1.0,0.9999999981713319,0.9999999954976643
CP1,0.0,11,5.0,5.0,9.72222222222222,2.0,0.005773997725464164,6.561003401042995e-06,6.560261879593421e-13,0.06733209223175622,0.0498340664926506
CP2,0.8181818181818182,11,5.0,4.7,9.13888888888889,2.0,0.9998102012628858,0.9999999999991251,1.0,0.9975622879137458,0.9961465351299937
CP4,0.8636363636363636,11,5.0,4.1,7.972222222222221,2.0,0.9999969510243034,1.0,1.0,0.9999985991644639,0.9999971108527652
CP1,0.0,10,7.0,7.0,13.61111111111111,2.0,0.005594870403287988,5.594536666052094e-06,4.35149142152034e-13,0.0656377762174264,0.0484978808546927
CP3,0.4,10,7.0,6.4,12.444444444444445,2.0,0.9999961887803792,1.0,1.0,0.9999957165710589,0.999991460094529
CP5,0.35,10,7.0,5.8,11.277777777777777,2.0,1.0,1.0,1.0,0.9999999982799959,0.999999995758924
CP1,0.0625,24,2.0,2.0,3.888888888888889,3.0,0.005694724357352188,6.096653555845482e-06,5.430081348006168e-13,0.06654594577985537,0.04921376081171632
CP2,0.75,12,2.0,1.7,3.305555555555556,3.0,0.9857856753023821,0.9874715505704301,0.9998671343091577,0.8406103904737934,0.8013532059549333
CP3,0.9166666666666666,12,2.0,1.4,2.722222222222222,3.0,0.9994267925690364,0.9999999991756037,1.0,0.9924147461700809,0.9886300895118151
CP4,0.875,12,2.0,1.1,2.138888888888889,3.0,0.9996417453556478,0.9999999999631746,1.0,0.995487571676805,0.9930648715468257
CP5,0.9583333333333334,12,2.0,0.8,1.5555555555555556,3.0,0.999960363315944,1.0,1.0,0.9995847498906949,0.9992933456682156
CP1,0.0416666666666666,24,3.0,3.0,5.833333333333333,3.0,0.005821256848761669,6.805647248930816e-06,7.208909158995001e-13,0.06772784818573098,0.05014654965977282
CP2,0.75,12,3.0,2.7,5.25,3.0,0.9926230033020407,0.9991824389221409,0.9999998521206066,0.9099429885674447,0.8829569522283998
CP3,0.875,12,3.0,2.4,4.666666666666666,3.0,0.9995647587193083,0.9999999998529043,1.0,0.9943181824729044,0.9913626453445586
CP4,0.7916666666666666,12,3.0,2.1,4.083333333333333,3.0,0.9995921995005778,0.9999999999012698,1.0,0.9946836726974788,0.991892509491078
CP5,0.8333333333333334,12,3.0,1.8,3.5,3.0,0.9999596010720199,1.0,1.0,0.9995550961287482,0.9992449284474114
CP1,0.0625,24,4.0,4.0,7.777777777777778,3.0,0.005802962994581939,6.723148259225367e-06,6.985993399076445e-13,0.06759573037040441,0.050042215503594126
CP2,0.375,12,4.0,3.7,7.194444444444445,3.0,0.9672410428716472,0.929288327824293,0.9916524448225777,0.7599247756965084,0.7107426392460292
CP3,0.5833333333333334,12,4.0,3.4,6.611111111111111,3.0,0.9994610935456234,0.9999999994280526,1.0,0.9928672019341728,0.9892758899783244
CP4,0.875,12,4.0,3.1,6.027777777777778,3.0,0.9995281710109488,0.9999999997701731,1.0,0.9938783045352523,0.9907273123008085
CP5,0.75,12,4.0,2.8,5.444444444444444,3.0,0.9998483134590934,0.9999999999998302,1.0,0.998134186699616,0.997015640865949
CP1,0.0416666666666666,12,5.0,5.0,9.72222222222222,3.0,0.005773997725464164,6.561003401042995e-06,6.560261879593421e-13,0.06733209223175622,0.0498340664926506
CP3,0.75,12,5.0,4.4,8.555555555555555,3.0,0.9995624719875358,0.9999999998450947,1.0,0.9942689012799276,0.9912913405384519
CP5,0.6666666666666666,12,5.0,3.8,7.388888888888888,3.0,0.9999588388280957,1.0,1.0,0.9995370429051341,0.9992155188675672
CP1,0.0416666666666666,12,6.0,6.0,11.666666666666666,3.0,0.005898243485101151,7.321286357491798e-06,8.700580719973243e-13,0.06852474796040607,0.05077620112144428
CP2,0.25,12,6.0,5.7,11.083333333333334,3.0,0.9941238615886993,0.9997322952141696,0.9999999912603554,0.9276604359339786,0.9045770488888365
CP4,0.375,12,6.0,5.1,9.916666666666666,3.0,0.9996219270136197,0.9999999999493178,1.0,0.9952418833534088,0.9927055043940641
CP1,0.0,25,2.0,2.0,3.888888888888889,4.0,0.005694724357352188,6.096653555845482e-06,5.430081348006168e-13,0.06654594577985537,0.04921376081171632
CP2,0.6538461538461539,13,2.0,1.7,3.305555555555556,4.0,0.9659589485912208,0.9259742522571657,0.9907184481873565,0.757089120905953,0.7076267084570982
CP3,1.0,12,2.0,1.4,2.722222222222222,4.0,0.9943837867668357,0.999787361322965,0.9999999951343614,0.9308056600491601,0.9084570003744499
CP4,0.8461538461538461,13,2.0,1.1,2.138888888888889,4.0,0.9948479933166453,0.9998630692282773,0.9999999984142339,0.9364019379475157,0.9153951263408932
CP5,1.0,12,2.0,0.8,1.5555555555555556,4.0,0.9985555477637288,0.9999998406439156,1.0,0.981320459821724,0.9732778297688099
CP1,0.0,25,3.0,3.0,5.833333333333333,4.0,0.005821256848761669,6.805647248930816e-06,7.208909158995001e-13,0.06772784818573098,0.05014654965977282
CP2,0.6538461538461539,13,3.0,2.7,5.25,4.0,0.9644199781083544,0.9213725380554187,0.9893316155949643,0.7532802318245195,0.7034480265859732
CP3,0.9583333333333334,12,3.0,2.4,4.666666666666666,4.0,0.9949516584903302,0.9998766123467587,0.9999999987841464,0.9376514947341962,0.9169505990704179
CP4,0.8461538461538461,13,3.0,2.1,4.083333333333333,4.0,0.9947809158513198,0.9998512445017792,0.999999998041391,0.9353883324631107,0.9141350947426459
CP5,0.9583333333333334,12,3.0,1.8,3.5,4.0,0.9985524987880322,0.9999998360697424,1.0,0.9812279667544027,0.9731527464793174
CP1,0.02,25,4.0,4.0,7.777777777777778,4.0,0.005802962994581939,6.723148259225367e-06,6.985993399076445e-13,0.06759573037040441,0.050042215503594126
CP2,0.5769230769230769,13,4.0,3.7,7.194444444444445,4.0,0.5550782214714967,0.5234524398472643,0.5381341500224979,0.5685670972735157,0.5088646544017325
CP3,0.7083333333333334,12,4.0,3.4,6.611111111111111,4.0,0.9938014324087823,0.9996507876949347,0.9999999828335399,0.9238297539142435,0.8998694574994635
CP4,0.7307692307692307,13,4.0,3.1,6.027777777777778,4.0,0.9940506861719806,0.9997158863246389,0.9999999898339913,0.926822193570497,0.9035452601479527
CP5,0.8333333333333334,12,4.0,2.8,5.444444444444444,4.0,0.9969807518164273,0.9999914307648187,0.9999999999986953,0.962030203687582,0.9478379600829765
CP1,0.0416666666666666,12,6.0,6.0,11.666666666666666,4.0,0.005769424261919176,6.481336704477421e-06,6.357049064998362e-13,0.06720057157626495,0.049730251275251006
CP3,0.4583333333333333,12,6.0,5.4,10.5,4.0,0.9947412791672637,0.9998465686642898,0.9999999978806331,0.9350050115796908,0.9136589792906256
CP5,0.7083333333333334,12,6.0,4.8,9.333333333333332,4.0,0.9985524987880322,0.9999998360697424,1.0,0.9812279667544027,0.9731527464793174
CP1,0.0384615384615384,13,7.0,7.0,13.61111111111111,4.0,0.005594870403287988,5.594536666052094e-06,4.35149142152034e-13,0.0656377762174264,0.0484978808546927
CP2,0.3076923076923077,13,7.0,6.7,13.02777777777778,4.0,0.8992100103970071,0.7994135238352692,0.914091351357771,0.6799921212760437,0.6244433453690214
CP4,0.5769230769230769,13,7.0,6.1,11.86111111111111,4.0,0.9952024367413768,0.9999031435744715,0.9999999993445907,0.9404527838944867,0.9204464283743305
CP1,0.0769230769230769,26,2.0,2.0,7.777777777777778,2.0,0.005802962994581939,6.723148259226171e-06,6.985993399078596e-13,0.06759573037040566,0.050042215503595125
CP2,0.9230769230769232,13,2.0,1.7,6.611111111111111,2.0,0.9998071522871891,0.9999999999989603,1.0,0.997492437067318,0.996041105481648
CP3,1.0,13,2.0,1.4,5.444444444444444,2.0,0.9999969510243034,1.0,1.0,0.9999971246462699,0.9999941966731881
CP4,0.9230769230769232,13,2.0,1.1,4.277777777777778,2.0,0.9999969510243034,1.0,1.0,0.9999986797519633,0.9999972722735722
