x_m,P_e_gt_x,gaussian_sd,gaussian_robust,n
0.1,0.33875644477237876,0.39459381078522027,0.3317248425037339,1311916
0.2,0.21012854481536924,0.2964178167885909,0.19206532817358668,1311916
0.3,0.13018897551367614,0.211248413898936,0.09586711100414536,1311916
0.5,0.057526548955878276,0.09063932864614999,0.014785982986716961,1311916
0.75,0.03057436604172825,0.022468559117685083,0.0005499056826580029,1311916
1.0,0.019643025925440316,0.003751459639705912,6.758822933550235e-06,1311916
1.25,0.012641053238164668,0.00041577894416311434,2.6723911306092418e-08,1311916
1.5,0.0076643626573652535,3.029705017221218e-05,3.347622179461496e-11,1311916
1.6,0.006175700273493123,9.435318340633714e-06,1.6716628081780982e-12,1311916
1.75,0.004373755636793875,1.4420945531057328e-06,1.3211653993039363e-14,1311916
2.0,0.0023408510910759572,4.4634636431339914e-08,0.0,1311916
2.5,0.0005968369926123707,1.1614043060603763e-11,0.0,1311916
3.0,0.000133392686726852,5.551115123125783e-16,0.0,1311916
