trace,pet,speed_kph,ego_id,v_ego_approach,t_onset,v_ego_onset,t_in,t_out,x_conf,v_onc,t_onc_arrival,pet_measured,dist_at_onset,tta_at_onset,p,n
IntersectionLeftTurnPET0,0.0,50,3,13.878247788212429,14.016,6.775986281588212,15.317,15.818,1.3681550274292629,13.87765419642101,16.519,0.7009999999999987,34.23043897251288,2.466586822817704,0.8837209302325582,172
IntersectionLeftTurnPET0.5,0.5,50,34,13.87828211504095,13.916,6.830701905199343,15.217,15.718,1.4575427373250325,13.877698440686338,17.119,1.4009999999999998,43.44462831815084,3.1305355498128433,0.9069767441860465,172
IntersectionLeftTurnPET1,1.0,50,44,13.878229665495398,13.916,6.807846388006162,15.117,15.718,1.4563349400247847,13.877617376005874,17.42,1.7020000000000017,47.65105067832129,3.4336622337425884,0.8197674418604651,172
IntersectionLeftTurnPET1.5,1.5,50,52,13.878231746481855,13.915,6.85668531694246,15.117,15.718,1.5816258490085602,13.877617400192024,18.12,2.402000000000001,58.03012195229531,4.181562315696378,0.6569767441860465,172
IntersectionLeftTurnPET2,2.0,50,60,13.878227107153483,13.916,6.861114087787922,15.117,15.718,1.5658973774739675,13.877621191267892,18.621,2.9029999999999987,65.00685945366111,4.6842941277691645,0.6046511627906976,172
IntersectionLeftTurnPET2.5,2.5,50,68,13.878229661363848,14.016,6.746142325737979,15.117,15.717,1.6915250037397658,13.87762493635369,19.422,3.705,74.20080067855972,5.346793923229906,0.5058139534883721,172
IntersectionLeftTurnPET3,3.0,50,76,13.878238782250687,13.916,6.84344774559419,15.117,15.618,1.6761260628700256,13.877623096995658,19.622,4.004,77.86393719911575,5.610754569056741,0.4418604651162791,172
IntersectionLeftTurnPET3.5,3.5,50,84,13.878237296899472,14.016,6.750698409799605,15.117,15.718,1.680085037435804,13.877623104017466,20.223,4.504999999999999,85.17870244809559,6.137845206607247,0.3372093023255814,172
IntersectionLeftTurnPET4,4.0,50,92,13.878231636298796,14.016,6.70888815524067,15.117,15.718,2.0133449946131026,13.877622144416128,20.623,4.905000000000001,91.26073407275337,6.576107428423788,0.2558139534883721,172
IntersectionLeftTurnPET0-70kph,0.0,70,39,13.879019783733655,13.916,6.823619989051206,15.117,15.718,1.6300850766045707,19.4378014706649,16.418,0.6999999999999993,47.6417487519128,2.4509844296852537,0.7965116279069767,172
IntersectionLeftTurnPET0.5-70kph,0.5,70,47,13.879016594209657,13.916,6.751603205419131,15.117,15.618,1.7176386713981628,19.43780543275879,17.12,1.5020000000000007,60.82973951101303,3.1294551085739273,0.7267441860465116,172
IntersectionLeftTurnPET1-70kph,1.0,70,100,13.878231392494794,13.916,6.877857337873225,15.117,15.618,1.7747749884923298,19.436018484574284,17.62,2.0020000000000007,71.15889807542165,3.6611869932053254,0.6162790697674418,172
IntersectionLeftTurnPET1.5-70kph,1.5,70,108,13.87884098010335,13.916,6.589484594938755,15.017,15.618,1.8870620131492615,19.43738757317789,18.121,2.5029999999999983,79.97342509031296,4.114412226912128,0.5,172
IntersectionLeftTurnPET2-70kph,2.0,70,26,13.87821198081005,14.116,6.540574202927757,15.217,15.818,1.9671554480280196,19.435998982592984,18.821,3.003000000000002,89.91167282206672,4.626038152327145,0.36046511627906974,172
IntersectionLeftTurnPET2.5-70kph,2.5,70,34,13.8782250089861,14.016,6.739709829355991,15.017,15.618,2.1522084730012074,19.436006981932845,19.222,3.604000000000001,99.73285713366099,5.131344994183722,0.22674418604651161,172
IntersectionLeftTurnPET3-70kph,3.0,70,42,13.87822586870009,14.016,6.740238151023952,15.017,15.618,2.175702793257577,19.436004743098106,19.722,4.104000000000001,109.27873609747205,5.622489680461612,0.12790697674418605,172
IntersectionLeftTurnPET3.5-70kph,3.5,70,50,13.878228999895523,13.915,6.878937660166773,15.017,15.617,2.0151303580829074,19.43601999253509,20.122,4.504999999999999,120.42432363544194,6.195935365455172,0.11627906976744186,172
IntersectionLeftTurnPET4-70kph,4.0,70,58,13.878230430109355,13.916,6.829755792406226,14.917,15.518,2.490614891052246,19.436033315431843,20.724,5.2059999999999995,130.38067364692688,6.708193566606366,0.11046511627906977,172
