ParticipantNumber,RunNumber,GPSNum,Investigator,CoInvestigator,Date,Training,TypeTraining,Broader_B_CZ,Finer_F_CZ,Cognitive_F_CZ_cog,WithOutBarrier_F_CZ_WOBarr,DreadZone_DZ_F,Stop_DZ_F_S,AutoBrake_DZ_F_A,SetPET,TurnedBefore,TurnedAfter,HowComfortable,HowRisky,HowDifficultDecisionBefore,HowMuchHesitate,HowHighProbabilitySame,IfTurnHowComfortable,IfTurnHowRisky,HowDifficultDecisionAfter,HowMuchHesitateAfter,HowHighProbabilitySameAfter,Remove,Comments [Runs],CZ_B_Switch_PET_Go,CZ_B_Switch_PET_NoGo,CZ_F_PET_Final_Go,CZ_F_PET_Final_NoGo,DZ_F_PET_Final_Go,DZ_F_PET_Final_NoGo,CZ_F_Cog_PET_Final_Go,CZ_F_Cog_PET_Final_NoGo,CZ_F_WB_PET_Final_Go_PET,CZ_F_WB_PET_Final_NoGo_PET,DZ_F_Stop_PET,PET,PredictedPET,PredictedPET_truePos,truePos_OffsetX,BalloonTimeToCross,BalloonSpeedAtCross,BalloonMinSpeed_30mBeforeCross,BalloonMaxSpeed,RobotBrakingDecel,RobotBr_maxLinearError,RobotBr_FinalDeviation,RobotBr_maxLinEr_Ref,Max_Deceleration,Max_LateralAccel,Q_InterpolatedTraj,Q_MedianFilteredTraj,Q_AllLowQualitySubjectData,Q_AllLowQualityBalloonData,Q_B_UnfixedBackwardsJump,Q_B_ReconstrTraj,Q_B_over3m_diffAfterReconstr,W_actual_ballonYpos_isFarOff_Zero,Q_BrokenTimeSignal,Q_min_Subject_Quality,Q_min_Balloon_Quality,cond,go,removed
18.0,171.0,11.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,1.0,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,2.0,2.0,14.0,,,,,,,,,,,,,,-1.32,,,,16.16,48.76866979222423,48.76866979222423,50.04122568422716,,,,,-3.264,2.979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,comfort,0,False
18.0,172.0,12.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,1.0,,,,,,,4.0,1.0,0.0,2.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.44,3.64,3.55,1.5071507528632608,16.1,47.117104626660776,47.080841328030644,49.67446607083161,-1.866944444444444,-0.3562899999999978,-0.34259999999999735,0.21426999999999907,-1.927,3.982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,comfort,1,False
18.0,173.0,13.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,1.0,,,,,,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,4.0,13.0,,,,1.0,,,,,,,,,,-1.36,1.65,1.51,1.0673931432890882,16.12,48.684652147250034,48.604695518571724,49.98567333494648,-1.9650925925925913,-0.23048333333332494,-0.21943333333332404,0.19308999999999799,-3.201,2.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,comfort,0,False
18.0,174.0,14.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,1.0,,,,,,,3.0,1.0,0.0,2.0,1.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,2.65,2.65,2.51,1.2694579508445685,16.07,45.79654851283601,45.77053458024108,49.67739540637183,-1.864537037037037,-0.47023333333333284,-0.47023333333333284,0.23354000000000497,-1.98,4.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,comfort,1,False
18.0,175.0,15.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,,1.0,,,,,,2.4,1.0,0.0,5.0,5.0,4.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.46,2.03,1.91,1.4608641009582968,16.14,48.473348076214066,48.43126631005622,49.616787013847556,-1.859537037037037,-0.2589333333333279,-0.2589333333333279,-0.14930333333332868,-3.064,3.398,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,comfort,1,False
18.0,176.0,16.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,,1.0,,,,,,2.2,1.0,0.0,2.0,2.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.92,1.85,1.8,1.0498961167718264,16.03,48.14843103080965,47.99792576016358,49.78331957689079,-1.819351851851852,-0.41547666666667027,-0.36846666666666295,0.21556333333333555,-1.865,3.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,comfort,1,False
18.0,177.0,17.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,,1.0,,,,,,2.0,1.0,0.0,2.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.94,1.66,1.59,1.1412835239855852,16.19,45.88151872890249,45.88151872890249,50.07572126908741,-1.833333333333333,-0.36749999999999616,-0.33049999999999713,0.2769999999999939,-2.325,4.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,comfort,1,False
18.0,178.0,18.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,,1.0,,,,,,1.8,1.0,0.0,3.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,1.73,1.46,1.36,1.0316080145620319,16.08,48.62970173258599,48.39360805190068,49.92375609694221,-1.6447222222222226,-0.4031800000000061,-0.33910000000000906,0.24462000000000472,-1.771,4.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,comfort,1,False
18.0,179.0,19.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,,1.0,,,,,,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,11.0,,,,,,1.0,,,,,,,,-0.55,1.26,1.13,1.2294174461975373,16.27,47.51454430522713,47.436574125913786,49.81652842736224,-1.6643518518518512,0.2634166666666644,-0.07766666666665856,0.2634166666666644,-5.92,3.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,comfort,0,False
18.0,185.0,25.0,"Regina;
Bosse","Julia; 
Helen",2013-10-02,,,,,,,1.0,,,0.6,1.0,0.0,4.0,3.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.99,0.24,0.1,1.4230986178922578,16.14,44.96907498557594,44.96907498557594,49.95869408757784,-1.6325,0.32934000000000196,-0.057200000000001694,0.32934000000000196,-2.466,5.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,dread,1,False
