bin,n,looming_median,observed,video_pred,highd_refit_heldout
0,221,6.944186645761322e-05,0.04072398190045249,0.03700251670961008,0.03388490007471716
1,221,0.00020523904423597753,0.04524886877828054,0.03705067371083257,0.04302599522956616
2,221,0.00037227649253218534,0.049773755656108594,0.037296973473031174,0.05391443125044222
3,220,0.0006031783755839611,0.03636363636363636,0.03807001784913137,0.06770610590770758
4,221,0.0008763298703456942,0.09954751131221719,0.03972009545024686,0.08250085539308873
5,221,0.0012353159073166945,0.08144796380090498,0.0428517308337422,0.09974442474436866
6,220,0.0017655933194184285,0.13636363636363635,0.04954328304526328,0.12257718133279306
7,221,0.0026769214936976284,0.15384615384615385,0.06418106090016452,0.15502368681417172
8,221,0.00433534896135333,0.22171945701357465,0.09732081949148619,0.2009903606180795
9,221,0.008651681133640126,0.2986425339366516,0.22184477439522216,0.3034050708530859
