scenario,cell,p,n,reading,h,c_inst,c_pers,t_open,pet,d_onc,t_sep,theta_dot
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,K,3.0,1.5557577233305935,1.5557230394502533,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,K,4.0,1.5557546114204186,1.5557215122239005,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,K,5.0,1.5557541240069788,1.5557199849975494,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,K,6.0,1.5557541240069788,1.5557184577711975,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,P,3.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,P,4.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,P,5.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,P,6.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,KP,3.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,KP,4.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,KP,5.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.0",0.8837209302325582,172.0,KP,6.0,0.0,0.0,,0.0,41.1843383560578,0.7009999999999987,0.016409953996038642
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,K,3.0,1.5557656370500335,1.5557351664341033,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,K,4.0,1.5557656370500335,1.5557351664341033,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,K,5.0,1.5557656370500335,1.5557351664341033,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,K,6.0,1.5557656370500335,1.5557351664341033,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,P,3.0,4.121956610289224,4.121956610289224,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,P,4.0,0.0,0.0,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,P,5.0,0.0,0.0,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,P,6.0,0.0,0.0,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,KP,3.0,1.5557656370500335,1.5557351664341033,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,KP,4.0,0.0,0.0,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,KP,5.0,0.0,0.0,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 0.5",0.9069767441860465,172.0,KP,6.0,0.0,0.0,,0.5,49.005728324254356,1.4009999999999998,0.011591808020299618
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,K,3.0,1.5557554188229477,1.5557366509676602,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,K,4.0,1.5557549218651736,1.5557359891823535,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,K,5.0,1.5557544394820644,1.5557353273970471,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,K,6.0,1.5557544394820644,1.5557346656117408,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,P,3.0,7.600255658629078,7.600255658629078,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,P,4.0,0.0,0.0,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,P,5.0,0.0,0.0,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,P,6.0,0.0,0.0,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,KP,3.0,1.5557554188229477,1.5557366509676602,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,KP,4.0,0.0,0.0,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,KP,5.0,0.0,0.0,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.0",0.8197674418604651,172.0,KP,6.0,0.0,0.0,,1.0,53.215324512549806,1.7020000000000017,0.00983091561789374
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,K,3.0,1.5557532190309222,1.555747243844267,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,K,4.0,1.55575139290247,1.5557459239937113,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,K,5.0,1.5557495667740164,1.5557445453838956,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,K,6.0,1.5557482533266214,1.5557431667740789,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,P,3.0,17.032857803025923,17.032857803025923,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,P,4.0,4.499886464087056,4.499886464087056,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,P,5.0,0.0,0.0,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,P,6.0,0.0,0.0,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,KP,3.0,1.5557532190309222,1.555747243844267,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,KP,4.0,1.55575139290247,1.5557459239937113,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,KP,5.0,0.0,0.0,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 1.5",0.6569767441860465,172.0,KP,6.0,0.0,0.0,,1.5,63.586438328027725,2.402000000000001,0.006886277133315537
ltap,"50 km/h, PET 2.0",0.6046511627906976,172.0,K,3.0,1.5557596232698565,1.5557453013675564,,2.0,70.5656210503408,2.9029999999999987,0.0055917954858787245
ltap,"50 km/h, PET 2.0",0.6046511627906976,172.0,K,4.0,1.5557590062370683,1.555740710030847,,2.0,70.5656210503408,2.9029999999999987,0.0055917954858787245
ltap,"50 km/h, PET 2.0",0.6046511627906976,172.0,K,5.0,1.55575838920428,1.5557361186941374,,2.0,70.5656210503408,2.9029999999999987,0.0055917954858787245
