trace,lcd,t_withdraw_own,t_surprise,latency_own,min_cross_straddle,v_straddle_min,v_straddle_max,min_cross_straddle_whole_trace,straddle_shown_s
LC_dv07_Tlc2p0_TTC02,2.0,15.833,15.3,0.5329999999999995,1.0,1.5374074074074022,1.5837037037036996,1.0,0.4290000000000047
LC_dv07_Tlc2p0_TTC03,2.0,15.833,15.3,0.5329999999999995,1.0,1.536666666666664,1.5970370370370346,1.0,0.4290000000000047
LC_dv07_Tlc2p0_TTC04,2.0,15.8,15.267,0.5330000000000013,1.0,1.5188888888888852,1.6303703703703751,1.0,0.49500000000000544
LC_dv07_Tlc2p0_TTC05,2.0,15.8,15.267,0.5330000000000013,1.0,1.5288888888888872,1.571481481481476,1.0,0.19800000000000217
LC_dv07_Tlc2p0_TTC07,2.0,15.8,15.267,0.5330000000000013,1.0,1.5018518518518478,1.6270370370370422,1.0,0.49500000000000544
LC_dv07_Tlc3p0_TTC02,3.0,16.1,15.367,0.7330000000000005,1.0,1.0681481481481474,1.074074074074077,1.0,0.19800000000000217
LC_dv07_Tlc3p0_TTC03,3.0,16.067,15.333,0.734,1.0,1.037777777777775,1.0496296296296366,1.0,0.23100000000000254
LC_dv07_Tlc3p0_TTC04,3.0,16.1,15.367,0.7330000000000005,1.0,1.0496296296296275,1.0614814814814815,1.0,0.1650000000000018
LC_dv07_Tlc3p0_TTC05,3.0,16.067,15.333,0.734,1.0,1.0503703703703686,1.0603703703703709,1.0,0.23100000000000254
LC_dv07_Tlc3p0_TTC06,3.0,16.067,15.333,0.734,,,,1.0,0.0
LC_dv07_Tlc4p0_TTC02,4.0,16.3,15.4,0.9000000000000004,,,,1.0,0.0
LC_dv07_Tlc4p0_TTC03,4.0,16.333,15.4,0.932999999999998,,,,1.0,0.0
LC_dv07_Tlc4p0_TTC04,4.0,16.333,15.4,0.932999999999998,,,,1.0,0.0
LC_dv07_Tlc4p0_TTC06,4.0,16.333,15.367,0.9659999999999975,,,,1.0,0.0
LC_dv07_Tlc4p0_TTC07,4.0,16.333,15.4,0.932999999999998,,,,1.0,0.0
LC_dv14_Tlc2p0_TTC02,2.0,15.8,15.267,0.5330000000000013,1.0,1.5399999999999925,1.624074074074079,1.0,0.49500000000000544
LC_dv14_Tlc2p0_TTC03,2.0,15.8,15.267,0.5330000000000013,1.0,1.538148148148145,1.6233333333333395,1.0,0.49500000000000544
