a_other_min,response_time,a_max,tau_inv_mu,collision_ref_speed,counterfactual_residual_severity,rho_gap,rho_p,rows,n_rows
-10.0,2.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-6.0,1.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-6.0,1.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-6.0,0.5,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,0.5,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,0.5,12.0,0.4,1000000.0,False,-0.2670425118884864,0.5245852011112987,3,24
-6.0,1.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-6.0,2.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,1.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,1.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-6.0,0.5,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,2.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,0.5,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,1.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,1.0,12.0,0.4,1000000.0,False,-0.2670425118884864,0.5245852011112987,3,24
-6.0,2.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-10.0,2.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-6.0,2.0,12.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,2.0,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,2.0,4.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
-2.0,0.5,8.0,0.4,1000000.0,True,-0.2670425118884864,0.5245852011112987,3,24
