video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,450021.53540859564,78.51149672572501,449943.0239118699,450021.5354085957,387202.2104056129,62819.325002982805,0.0,21,2.0,2.0,3.888888888888889
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,450021.53540859564,46.17665373859927,449975.35875485704,450021.5354085957,384844.4052732927,65177.130135303014,0.9545454545454546,11,2.0,1.7,3.305555555555556
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,450033.9526665368,60.1724957600818,449973.7801707767,450033.9526665368,387194.3765144008,62839.57615213597,0.85,10,2.0,1.4,2.722222222222222
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,450021.5354085961,5.094494068820495,450016.4409145273,450021.5354085961,381029.0384726357,68992.49693596043,1.0,11,2.0,1.1,2.138888888888889
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,660185.2434735163,36.60986586404033,660148.6336076523,660185.2434735163,570908.9305215495,89276.31295196677,0.85,10,2.0,0.8,1.5555555555555556
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,456784.6808339676,96.38625134609174,456688.2945826215,456784.6808339676,379371.63187982055,77413.04895414703,0.0238095238095238,21,3.0,3.0,5.833333333333333
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,450021.53540859564,70.98365340277087,449950.55175519286,450021.5354085957,384844.4052732909,65177.13013530482,0.8181818181818182,11,3.0,2.7,5.25
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,450940.2088776532,97.30393419205211,450842.9049434611,450940.2088776532,383278.7476124915,67661.46126516169,0.75,10,3.0,2.4,4.666666666666666
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,450022.30626866024,55.26772285514744,449967.0385458051,450022.3062686602,381151.2155196523,68871.09074900788,0.9545454545454546,11,3.0,2.1,4.083333333333333
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,524000.98563402356,36.79881659895182,523964.1868174246,524000.9856340236,460075.83749980544,63925.14813421818,0.8,10,3.0,1.8,3.5
