video,cp,eps,epistemic,g_alpha1,p,n,ttc_start,ttc_true,distance
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,1933.667877642008,78.51149672574388,1855.1563809162642,0.0,21,2.0,2.0,3.888888888888889
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,1933.6678776420201,46.17665373861678,1887.4912239034034,0.9545454545454546,11,2.0,1.7,3.305555555555556
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,1946.099408080098,60.172495760101356,1885.9269123199967,0.85,10,2.0,1.4,2.722222222222222
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1933.6678776424353,6.3768128431638615,1927.2910647992715,1.0,11,2.0,1.1,2.138888888888889
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,211619.35352828,36.609865864069434,211582.74366241592,0.85,10,2.0,0.8,1.5555555555555556
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,8371.617456055052,82.53960672285939,8289.077849332192,0.0238095238095238,21,3.0,3.0,5.833333333333333
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,1933.6678776420251,70.98365340274995,1862.6842242392752,0.8181818181818182,11,3.0,2.7,5.25
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,2852.341346698868,97.30393419208076,2755.0374125067874,0.75,10,3.0,2.4,4.666666666666666
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,1934.424438581146,55.26772285514221,1879.1567157260038,0.9545454545454546,11,3.0,2.1,4.083333333333333
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,75435.09568878745,36.79881659896637,75398.29687218848,0.8,10,3.0,1.8,3.5
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,1454.8400860496909,33.002076782753875,1421.838009266937,0.0,21,4.0,4.0,7.777777777777778
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,2111.3710633026963,31.87632646385441,2079.494736838842,0.8636363636363636,11,4.0,3.7,7.194444444444445
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,11254.603538541933,183.78870793284295,11070.81483060909,0.7,10,4.0,3.4,6.611111111111111
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1932.8766727199784,34.077069185085975,1898.7996035348924,0.8181818181818182,11,4.0,3.1,6.027777777777778
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,8403.398946231035,99.81942648506629,8303.579519745968,0.85,10,4.0,2.8,5.444444444444444
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,1454.8400860496909,31.877556578830763,1422.96252947086,0.0,11,5.0,5.0,9.72222222222222
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,2022.4239172602304,32.78085182585323,1989.6430654343771,0.8181818181818182,11,5.0,4.7,9.13888888888889
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,1932.8766727199784,33.00610676734573,1899.8705659526327,0.8636363636363636,11,5.0,4.1,7.972222222222221
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,3236.530763627119,12.198362600615383,3224.3324010265037,0.0,10,7.0,7.0,13.61111111111111
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,4905.138708169688,184.3589151902479,4720.77979297944,0.4,10,7.0,6.4,12.444444444444445
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,1933.621693387747,62.01993185172614,1871.6017615360208,0.35,10,7.0,5.8,11.277777777777777
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1452.3843864503285,47.349856966311336,1405.0345294840172,0.0625,24,2.0,2.0,3.888888888888889
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2221.984028023346,31.404897944775712,2190.5791300785704,0.75,12,2.0,1.7,3.305555555555556
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,9312.397892492496,83.12751157948696,9229.270380913009,0.9166666666666666,12,2.0,1.4,2.722222222222222
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1932.8766727199784,6.043219810667779,1926.8334529093106,0.875,12,2.0,1.1,2.138888888888889
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,9342.151195600312,91.99213458970917,9250.159061010603,0.9583333333333334,12,2.0,0.8,1.5555555555555556
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1454.8400860496909,33.90066432936737,1420.9394217203235,0.0416666666666666,24,3.0,3.0,5.833333333333333
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,2174.7063943072426,31.981420774022354,2142.7249735332202,0.75,12,3.0,2.7,5.25
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,2269.7489378449036,86.1769718611863,2183.5719659837173,0.875,12,3.0,2.4,4.666666666666666
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1932.8766727199784,34.79354649014249,1898.083126229836,0.7916666666666666,12,3.0,2.1,4.083333333333333
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,8618.347930230766,91.6589160288604,8526.689014201906,0.8333333333333334,12,3.0,1.8,3.5
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,1932.8766727199745,83.22713283188432,1849.6495398880902,0.0625,24,4.0,4.0,7.777777777777778
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,1929.9628684943436,33.419836994429716,1896.543031499914,0.375,12,4.0,3.7,7.194444444444445
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,2533.1712253540977,94.41233809600953,2438.758887258088,0.5833333333333334,12,4.0,3.4,6.611111111111111
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,1930.471285745317,33.739938701782194,1896.7313470435347,0.875,12,4.0,3.1,6.027777777777778
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,1454.8400860496909,37.876699728298036,1416.9633863213928,0.75,12,4.0,2.8,5.444444444444444
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,1454.8400860496909,31.882565754233383,1422.9575202954575,0.0416666666666666,12,5.0,5.0,9.72222222222222
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,10204.089970966275,193.91873887616202,10010.171232090113,0.75,12,5.0,4.4,8.555555555555555
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,7245.872150087764,115.6067326830098,7130.265417404754,0.6666666666666666,12,5.0,3.8,7.388888888888888
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,1932.8766727204008,14.33080504894383,1918.545867671457,0.0416666666666666,12,6.0,6.0,11.666666666666666
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,1932.8766727204106,35.58155533157765,1897.295117388833,0.25,12,6.0,5.7,11.083333333333334
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,1932.8766727204056,31.870071486290954,1901.0066012341147,0.375,12,6.0,5.1,9.916666666666666
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1454.6901270709893,69.30837916943369,1385.3817479015556,0.0,25,2.0,2.0,3.888888888888889
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2219.896077081406,31.43210162197738,2188.4639754594286,0.6538461538461539,13,2.0,1.7,3.305555555555556
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,9368.046968699373,83.09771453061876,9284.949254168754,1.0,12,2.0,1.4,2.722222222222222
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1932.8766727199784,5.104626496342917,1927.7720462236355,0.8461538461538461,13,2.0,1.1,2.138888888888889
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,9653.386803357662,92.23807802802548,9561.148725329636,1.0,12,2.0,0.8,1.5555555555555556
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1455.5342504809496,33.94060988371325,1421.5936405972363,0.0,25,3.0,3.0,5.833333333333333
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,2170.335890402227,32.04857890563653,2138.2873114965905,0.6538461538461539,13,3.0,2.7,5.25
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1933.5672603260714,80.72716498668751,1852.8400953393839,0.9583333333333334,12,3.0,2.4,4.666666666666666
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1930.379052207398,48.2620210785542,1882.1170311288438,0.8461538461538461,13,3.0,2.1,4.083333333333333
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,9663.864127411332,82.0599966648806,9581.804130746452,0.9583333333333334,12,3.0,1.8,3.5
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,1930.0401073717228,80.04615657529916,1849.9939507964236,0.02,25,4.0,4.0,7.777777777777778
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,1932.8766727199784,33.36766750046149,1899.509005219517,0.5769230769230769,13,4.0,3.7,7.194444444444445
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,2114.907882364589,88.26010527314816,2026.647777091441,0.7083333333333334,12,4.0,3.4,6.611111111111111
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,1934.5340558945882,33.705893864284235,1900.828162030304,0.7307692307692307,13,4.0,3.1,6.027777777777778
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,1454.8400860496895,38.098210483897674,1416.7418755657918,0.8333333333333334,12,4.0,2.8,5.444444444444444
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,1454.8400860496909,32.05168844583841,1422.7883976038524,0.0416666666666666,12,6.0,6.0,11.666666666666666
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,2462.570835680439,105.28620697528959,2357.2846287051493,0.4583333333333333,12,6.0,5.4,10.5
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,3538.478454161394,124.63845105775044,3413.8400031036435,0.7083333333333334,12,6.0,4.8,9.333333333333332
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,3254.2705524838793,12.276764250224915,3241.9937882336544,0.0384615384615384,13,7.0,7.0,13.61111111111111
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,1932.8766727204056,58.856677667039776,1874.0199950533658,0.3076923076923077,13,7.0,6.7,13.02777777777778
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,1933.6678776420201,32.17382993068259,1901.4940477113375,0.5769230769230769,13,7.0,6.1,11.86111111111111
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1933.849922554116,28.22353769647657,1905.6263848576393,0.0769230769230769,26,2.0,2.0,7.777777777777778
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2340.321922217197,30.14178057225672,2310.1801416449402,0.9230769230769232,13,2.0,1.7,6.611111111111111
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,47582.863673811764,171.05785168164584,47411.80582213012,1.0,13,2.0,1.4,5.444444444444444
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,2412.1450994607876,28.312968617310617,2383.832130843477,0.9230769230769232,13,2.0,1.1,4.277777777777778
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,10555.61587390478,87.22472903055677,10468.391144874224,1.0,13,2.0,0.8,3.111111111111111
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1935.6065302028956,12.135850021602437,1923.4706801812931,0.0576923076923076,26,3.0,3.0,11.666666666666666
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,2263.1120727142174,30.567575592427147,2232.5444971217903,0.9615384615384616,13,3.0,2.7,10.5
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,44730.937433225314,189.16757973322092,44541.76985349209,0.8076923076923077,13,3.0,2.4,9.333333333333332
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,2412.1450994607876,28.304593875664523,2383.840505585123,0.9230769230769232,13,3.0,2.1,8.166666666666666
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,4209.11222253336,157.08362380823655,4052.0285987251236,0.8846153846153846,13,3.0,1.8,7.0
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,6522.877184514581,76.06538362212177,6446.811800892459,0.0192307692307692,26,4.0,4.0,15.555555555555555
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,34303.09381198046,178.00076088481728,34125.093051095646,0.6923076923076923,13,4.0,3.7,14.38888888888889
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,29577.419799893763,173.82237035123035,29403.597429542533,0.4615384615384615,13,4.0,3.4,13.22222222222222
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1934.5702744602272,29.43856257820903,1905.1317118820182,0.8076923076923077,13,4.0,3.1,12.055555555555555
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1935.806439836009,58.60555853218398,1877.200881303825,0.6538461538461539,13,4.0,2.8,10.888888888888888
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,2574.3319398418485,101.61034713249182,2472.7215927093566,0.0,13,5.0,5.0,19.444444444444443
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,4418.567315950025,98.7469191908076,4319.820396759217,0.3076923076923077,13,5.0,4.4,17.11111111111111
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,2055.382365513462,77.64283890478782,1977.7395266086742,0.4615384615384615,13,5.0,3.8,14.777777777777777
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,2197.1167037059386,108.03431239850124,2089.0823913074373,0.1153846153846153,13,6.0,6.0,23.33333333333333
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,2553.8210711010925,87.01140980822902,2466.8096612928634,0.4230769230769231,13,6.0,5.7,22.166666666666668
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,2815.475907798063,114.9364023921571,2700.539505405906,0.5,13,6.0,5.1,19.83333333333333
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,49603.7531710836,156.32319396165258,49447.429977121945,0.0,24,2.0,2.0,7.777777777777778
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,2412.9290556891415,28.656250255565283,2384.272805433576,0.6666666666666666,12,2.0,1.7,6.611111111111111
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,2386.526735131116,86.46230199377624,2300.0644331373396,1.0,12,2.0,1.4,5.444444444444444
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1933.8499225537053,28.90453043175421,1904.945392121951,0.875,12,2.0,1.1,4.277777777777778
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,3286.792261627498,30.415614918614665,3256.3766467088835,1.0,12,2.0,0.8,3.111111111111111
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1933.849922554116,12.105647204202114,1921.7442753499138,0.0833333333333333,24,3.0,3.0,11.666666666666666
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,2265.069664257309,30.525776789929296,2234.5438874673796,0.7083333333333334,12,3.0,2.7,10.5
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,48399.35008898413,172.95849172892486,48226.391597255206,0.8333333333333334,12,3.0,2.4,9.333333333333332
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,2409.684719262607,28.25951017843545,2381.4252090841715,0.875,12,3.0,2.1,8.166666666666666
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,141892.9435835017,160.76010304593365,141732.18348045577,1.0,12,3.0,1.8,7.0
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,6173.905532561178,76.24769414047023,6097.657838420708,0.0,24,4.0,4.0,15.555555555555555
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,3176.2361607842313,99.5966896993641,3076.639471084867,0.4583333333333333,12,4.0,3.7,14.38888888888889
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,2281.529117214089,85.00138010216415,2196.527737111925,0.7083333333333334,12,4.0,3.4,13.22222222222222
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,2412.145099460799,29.4007045082717,2382.7443949525273,0.6666666666666666,12,4.0,3.1,12.055555555555555
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1933.849922553693,58.561697372354274,1875.2882251813387,0.7916666666666666,12,4.0,2.8,10.888888888888888
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,2203.297453557462,107.94433141580521,2095.353122141657,0.0416666666666666,12,6.0,6.0,23.33333333333333
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,3460.225654640534,114.68636790731352,3345.5392867332203,0.2916666666666667,12,6.0,5.4,21.0
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,4028.9168725174586,134.27222203364454,3894.644650483814,0.4166666666666667,12,6.0,4.8,18.666666666666664
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,2302.151961785581,104.1618296151687,2197.9901321704124,0.0416666666666666,12,7.0,7.0,27.22222222222222
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,2761.18364945991,97.54660715588398,2663.637042304026,0.2083333333333333,12,7.0,6.7,26.05555555555556
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,205992.20345960205,67.83264180927654,205924.37081779278,0.4583333333333333,12,7.0,6.1,23.72222222222222
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1933.8499225541286,28.212413898821296,1905.6375086553073,0.0416666666666666,24,2.0,2.0,7.777777777777778
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2335.020647606782,30.140812551456747,2304.879835055325,0.7916666666666666,12,2.0,1.7,6.611111111111111
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,2391.7694387774904,84.45617531742027,2307.31326346007,0.9583333333333334,12,2.0,1.4,5.444444444444444
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1933.8499225540972,28.44863736065895,1905.4012851934383,0.9583333333333334,12,2.0,1.1,4.277777777777778
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,11849.513622383241,87.76124821405756,11761.752374169184,0.9583333333333334,12,2.0,0.8,3.111111111111111
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1933.849922554116,12.10834640363305,1921.7415761504828,0.0,24,3.0,3.0,11.666666666666666
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,2264.7003994765482,30.558115356058806,2234.1422841204894,0.5,12,3.0,2.7,10.5
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,3083.2355561023064,98.98312080896585,2984.2524352933406,0.7916666666666666,12,3.0,2.4,9.333333333333332
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,2412.929055689576,28.203269978927437,2384.725785710649,0.875,12,3.0,2.1,8.166666666666666
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,2501.6097937926925,121.73023192713481,2379.8795618655577,0.9166666666666666,12,3.0,1.8,7.0
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,6227.539947147613,76.03233138211999,6151.507615765493,0.0416666666666666,24,4.0,4.0,15.555555555555555
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,33119.70100229807,173.42667240158335,32946.274329896485,0.5416666666666666,12,4.0,3.7,14.38888888888889
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,2013.986896904543,68.93059087598772,1945.0563060285554,0.6666666666666666,12,4.0,3.4,13.22222222222222
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,2412.1450994607876,29.397237372401833,2382.747862088386,0.6666666666666666,12,4.0,3.1,12.055555555555555
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1933.8499225537053,58.94271378296867,1874.9072087707366,0.6666666666666666,12,4.0,2.8,10.888888888888888
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,CP1,3246.949276344951,129.84402494626192,3117.1052513986892,0.0,12,5.0,5.0,19.444444444444443
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,CP2,2497.8755670361224,106.66722668032844,2391.208340355794,0.2916666666666667,12,5.0,4.7,18.27777777777778
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,CP4,6917.18574951769,34.30644871055847,6882.879300807132,0.5833333333333334,12,5.0,4.1,15.944444444444445
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,2462.1377504133175,108.4452564306066,2353.692493982711,0.0,12,7.0,7.0,27.22222222222222
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,8755.341969779607,122.87207337918699,8632.46989640042,0.375,12,7.0,6.4,24.88888888888889
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,2107.490589609694,86.60593396245554,2020.8846556472383,0.375,12,7.0,5.8,22.55555555555556
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1943.0669211097702,35.36738116081847,1907.6995399489517,0.0,21,2.0,2.0,11.666666666666666
LC_dv21_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2919.3970864046755,28.029281331055245,2891.3678050736203,0.9090909090909092,11,2.0,1.7,9.916666666666666
