a_other_min,response_time,post,cp1,rows,n_rows,rho_p,rho_gap
-4.0,0.5,0.3147963035400119,0.5151345799416749,0.0,24.0,0.2692474470899614,0.03766002498876723
-4.0,1.0,0.307498251914077,0.5103284195098066,0.0,24.0,0.34235945313488025,-0.05074121975994707
-4.0,1.5,0.2876142331331301,0.5042557357836098,3.0,24.0,0.41587648122106685,-0.14093225832036863
-4.0,2.0,0.2629153007076211,0.4978326348759419,5.0,24.0,0.497785153945157,-0.24305701401942564
-6.0,0.5,0.25216263148261286,0.49796008204553915,6.0,24.0,0.5309881674262283,-0.2838422074027824
-6.0,1.0,0.22299358705740374,0.492388628549962,9.0,24.0,0.632725332366674,-0.4134144874007878
-6.0,1.5,0.19276672665938033,0.48588877051048657,14.0,24.0,0.7337700402688233,-0.5557017138362932
-6.0,2.0,,,,,,
-8.0,0.5,0.19985848463654635,0.489291826554726,13.0,24.0,0.702682086057846,-0.5112326851899628
-8.0,1.0,0.1683190459269332,0.481727589359957,17.0,24.0,0.7970012170365126,-0.6519755393652047
-8.0,1.5,,,,,,
-8.0,2.0,,,,,,
-10.0,0.5,0.1670891401588886,0.4825304017769103,17.0,24.0,0.7980941735374523,-0.6534046112241245
-10.0,1.0,0.14087258604790998,0.47445452615731537,19.0,24.0,0.8691627278071662,-0.7801875760663126
-10.0,1.5,,,,,,
-10.0,2.0,,,,,,
-12.0,0.5,0.1477816433411903,0.4782175565249366,18.0,24.0,0.8494093606468521,-0.7421414580124795
-12.0,1.0,,,,,,
-12.0,1.5,,,,,,
-12.0,2.0,,,,,,
-15.0,0.5,0.13201890193740445,0.47514344842934564,20.0,24.0,0.8885160980135732,-0.8221885732459729
-15.0,1.0,,,,,,
-15.0,1.5,,,,,,
-15.0,2.0,,,,,,
