video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,x_rel,v_ego,v_oth,l0,ldot,gate_g1,demand_P1,demand_P2,demand_released
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.0,21,2.0,2.0,3.888888888888889,7.0,10.222351797381462,26.796,24.991,1.6260000000000001,0.003333333333334447,0.06654594577985293,12.534404122951516,1.0262454124455966,11.71629005514945
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0,9.660391353928892,26.796,24.977,1.3300000000000007,-0.9866666666666646,0.9638297846821879,12.811849088860646,1.635747125554639,11.958349878882396
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,0.85,10,2.0,1.4,2.722222222222222,7.0,9.087151187101881,26.796,24.98,0.8720000000000006,-1.6933333333333334,0.9999946125945988,13.073464028211927,3.737784342897329,12.185959724429182
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,11,2.0,1.1,2.138888888888889,7.0,8.518697012668875,26.796,24.983,0.39800000000000035,-1.5800000000000007,0.9999971383767287,13.343611142201128,inf,12.420344643191603
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,0.85,10,2.0,0.8,1.5555555555555556,7.0,7.9441164086994,26.796,24.985,-0.08100000000000063,-1.59666666666667,0.9999998018297924,13.630480939623649,inf,12.668520666196212
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0,12.175350978152709,26.796,24.991,1.6269999999999996,-2.960594732333751e-15,0.06772784818573346,11.734288806319432,0.46012740263678303,11.014287577660614
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,0.8181818181818182,11,3.0,2.7,5.25,7.0,11.612392302410687,26.796,24.977,1.3319999999999996,-0.9833333333333332,0.962857051757218,11.977499497555177,0.5582725239092299,11.228295561383247
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,0.75,10,3.0,2.4,4.666666666666666,7.0,11.044153353885653,26.651,24.98,0.8739999999999994,-1.6933333333333394,0.9999945622056106,12.012842331829413,0.5489722032951274,11.251649081548774
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0,10.485700065243185,26.793,24.983,0.39999999999999925,-1.5800000000000007,0.9999971108527652,12.430463661619555,0.8874952278793863,11.625257286319918
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,0.8,10,3.0,1.8,3.5,7.0,9.911114167551263,26.796,24.985,-0.08399999999999985,-1.6133333333333304,0.9999998506317893,12.683291035464315,1.2911126746673471,11.846274922500479
