lead,t_react,standoff,post,cp1,rows,n_rows,rho_p,rho_gap,level,sigma,lapse,n_cap,train_full
stops,0.0,0.0,0.27692586707695793,0.5033439459095601,4,24,0.4444662132507012,-0.17673416333366937,6.356297126138559,0.46012357092020306,2.6840680704139054e-08,0,0.2450262116885568
stops,0.0,2.0,0.2709938010769268,0.5020080377926758,4,24,0.46601705415991684,-0.2029638742432624,6.555194660877238,0.43988439796306644,6.69990929480769e-08,0,0.2415412086160973
stops,0.0,5.0,0.26136158254673875,0.5000785237646452,5,24,0.5020921563219628,-0.2473894454398489,6.873328969564666,0.4125689233788799,3.719298493288617e-10,0,0.23573048181159564
stops,0.0,10.0,0.24342387464047893,0.4969860228029432,8,24,0.5601670909488978,-0.3194125068168699,7.467700429185492,0.3746723921962923,4.630769105359063e-09,0,0.22435671527441037
stops,0.0,20.0,0.20243673783416186,0.49024514428263777,13,24,0.6929678384266218,-0.49747501115774045,9.006355131515743,0.3265221280330333,8.52352251663153e-09,0,0.1947985509707075
stops,0.0,30.0,0.1610684094202037,0.48163853274508633,17,24,0.8142747035843502,-0.6800716598216027,11.341680526832688,0.32256613006241386,4.299557027399714e-09,0,0.15804888647267898
stops,0.0,40.0,0.12851517426782935,0.47562187028865355,21,24,0.894670573758519,-0.836462712692493,15.906084625024386,0.3537412072992107,0.07280122258949304,0,0.12371905917426518
stops,0.5,0.0,0.25216263148261286,0.49796008204553915,6,24,0.5309881674262283,-0.2838422074027824,8.130709891375853,0.4486534677002253,5.766812661801711e-09,0,0.23025096284523539
stops,0.5,2.0,0.24484061058593792,0.49670498637798743,7,24,0.5556977782503432,-0.3145073413767004,8.447874526906439,0.4340829055964747,4.283706162074954e-09,0,0.22554983144187138
stops,0.5,5.0,0.23324541347625088,0.4948055518196173,9,24,0.5973889180466423,-0.36801049558713467,8.969890659452043,0.4152968991369128,3.867446245038581e-08,0,0.21781346898508516
stops,0.5,10.0,0.2126565850541014,0.4914338407904397,11,24,0.6640110237652925,-0.4554526620519053,9.99505809184881,0.39251696528774055,1.551571711680326e-09,0,0.20304639617327383
stops,0.5,20.0,0.17035263154744085,0.4830059815208466,15,24,0.7886663558857844,-0.6388076808936686,12.962462108080395,0.3877099534094533,1.8098423089491963e-09,0,0.16736606999395473
stops,0.5,30.0,0.13544178297050707,0.4751101342125275,19,24,0.8812390177522601,-0.8044139739024507,18.807272279918365,0.4634766501982783,0.03030956405995092,0,0.1304875282365319
stops,0.5,40.0,0.11319062248543411,0.48166009405341287,23,24,0.9177731298599525,-0.9258993869055908,31.546565612358915,0.8479381410688213,6.395945468836094e-08,38,0.11108283305098232
stops,1.0,0.0,0.22299358705740374,0.492388628549962,9,24,0.632725332366674,-0.4134144874007878,11.235274717201959,0.4830519764824713,3.0205043615220334e-08,0,0.2110002404163668
