video,cp,p_change,C_0,a_0,none_0,cont_0,p_collide_continue,C_0.01,a_0.01,none_0.01,cont_0.01,C_0.05,a_0.05,none_0.05,cont_0.05,C_0.1,a_0.1,none_0.1,cont_0.1,C_0.2,a_0.2,none_0.2,cont_0.2,p,n,ttc_start,ttc_true,distance,dv_kph
LC_dv07_Tlc2p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,249.09999999999997,1.0,False,False,0.06,140.11874999999998,0.75,False,False,15.568750000000001,0.25,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,21,2.0,2.0,3.888888888888889,7.0
LC_dv07_Tlc2p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,1.0,996.4,2.0,False,False,0.86,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,249.09999999999997,1.0,False,False,0.9545454545454546,11,2.0,1.7,3.305555555555556,7.0
LC_dv07_Tlc2p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,1.0,996.4,2.0,False,False,0.895,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,249.09999999999997,1.0,False,False,0.85,10,2.0,1.4,2.722222222222222,7.0
LC_dv07_Tlc2p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,996.4,2.0,False,False,0.915,996.4,2.0,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,1.0,11,2.0,1.1,2.138888888888889,7.0
LC_dv07_Tlc2p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,1.0,996.4,2.0,False,False,0.93,996.4,2.0,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,0.85,10,2.0,0.8,1.5555555555555556,7.0
LC_dv07_Tlc2p0_TTC03_CP1_S5p033_E15p033.mp4,CP1,0.07000000000000002,140.11874999999998,0.75,False,False,0.06,140.11874999999998,0.75,False,False,15.568750000000001,0.25,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0238095238095238,21,3.0,3.0,5.833333333333333,7.0
LC_dv07_Tlc2p0_TTC03_CP2_S5p333_E15p333.mp4,CP2,1.0,762.8687500000001,1.75,False,False,0.78,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.8181818181818182,11,3.0,2.7,5.25,7.0
LC_dv07_Tlc2p0_TTC03_CP3_S5p633_E15p633.mp4,CP3,1.0,762.8687500000001,1.75,False,False,0.765,560.475,1.5,False,False,389.21875,1.25,False,False,249.10000000000005,1.0,False,False,140.11875000000003,0.75,False,False,0.75,10,3.0,2.4,4.666666666666666,7.0
LC_dv07_Tlc2p0_TTC03_CP4_S5p933_E15p933.mp4,CP4,1.0,996.4,2.0,False,False,0.82,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.9545454545454546,11,3.0,2.1,4.083333333333333,7.0
LC_dv07_Tlc2p0_TTC03_CP5_S6p233_E16p233.mp4,CP5,1.0,996.4,2.0,False,False,0.855,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,249.09999999999997,1.0,False,False,0.8,10,3.0,1.8,3.5,7.0
LC_dv07_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,140.11874999999998,0.75,False,False,0.06,140.11874999999998,0.75,False,False,15.568750000000001,0.25,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,21,4.0,4.0,7.777777777777778,7.0
LC_dv07_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,762.8687500000001,1.75,False,False,0.71,560.475,1.5,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,140.11874999999998,0.75,False,False,0.8636363636363636,11,4.0,3.7,7.194444444444445,7.0
LC_dv07_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,762.8687500000001,1.75,False,False,0.715,560.475,1.5,False,False,249.10000000000005,1.0,False,False,140.11875000000003,0.75,False,False,140.11875000000003,0.75,False,False,0.7,10,4.0,3.4,6.611111111111111,7.0
LC_dv07_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,762.8687500000001,1.75,False,False,0.76,560.475,1.5,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.8181818181818182,11,4.0,3.1,6.027777777777778,7.0
LC_dv07_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1.0,762.8687500000001,1.75,False,False,0.79,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,0.85,10,4.0,2.8,5.444444444444444,7.0
LC_dv07_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,140.11874999999998,0.75,False,False,0.045,62.275,0.5,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,0.0,False,True,0.0,11,5.0,5.0,9.72222222222222,7.0
LC_dv07_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,1.0,560.475,1.5,False,False,0.63,560.475,1.5,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,62.275,0.5,False,False,0.8181818181818182,11,5.0,4.7,9.13888888888889,7.0
LC_dv07_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,1.0,762.8687500000001,1.75,False,False,0.675,560.475,1.5,False,False,249.09999999999997,1.0,False,False,140.11874999999998,0.75,False,False,140.11874999999998,0.75,False,False,0.8636363636363636,11,5.0,4.1,7.972222222222221,7.0
LC_dv07_Tlc2p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,62.275,0.5,False,False,0.03,15.568750000000001,0.25,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0,0.0,False,True,0.0,10,7.0,7.0,13.61111111111111,7.0
LC_dv07_Tlc2p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,1.0,560.475,1.5,False,False,0.44,389.21875,1.25,False,False,140.11874999999998,0.75,False,False,62.275,0.5,False,False,62.275,0.5,False,False,0.4,10,7.0,6.4,12.444444444444445,7.0
LC_dv07_Tlc2p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,1.0,560.475,1.5,False,False,0.505,389.21875,1.25,False,False,140.11874999999998,0.75,False,False,140.11874999999998,0.75,False,False,62.275,0.5,False,False,0.35,10,7.0,5.8,11.277777777777777,7.0
LC_dv07_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,249.10000000000005,1.0,False,False,0.06,140.11875000000003,0.75,False,False,15.568750000000001,0.25,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0625,24,2.0,2.0,3.888888888888889,7.0
LC_dv07_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,1.0,996.4,2.0,False,False,0.86,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,249.09999999999997,1.0,False,False,0.75,12,2.0,1.7,3.305555555555556,7.0
LC_dv07_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,996.4,2.0,False,False,0.905,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,0.9166666666666666,12,2.0,1.4,2.722222222222222,7.0
LC_dv07_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,996.4,2.0,False,False,0.915,996.4,2.0,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,249.09999999999997,1.0,False,False,0.875,12,2.0,1.1,2.138888888888889,7.0
