criticality,timepoint,ps,ps_sd,d,n
TTC4,C1,2.354651162790698,2.2779983506991646,1.2551698201745447,172
TTC4,C2,3.7093023255813953,2.825805392908551,3623.4736962202196,172
TTC4,C3,6.3604651162790695,2.6376171715784014,6342.597239402866,172
TTC4,C4,6.75,2.6070641775244026,6512.701883246249,172
TTC4,C5,7.593023255813954,2.363850100514333,6672.1765684181055,172
TTC4,C6,8.418604651162791,2.034584695637154,6839.16571351333,172
TTC6,C1,2.1686046511627906,2.1495415873547814,2073.370858939381,172
TTC6,C2,2.38953488372093,2.185680622232293,4901.666732471771,172
TTC6,C3,3.7267441860465116,2.4899293969935745,5112.748852153159,172
TTC6,C4,4.505813953488372,2.507292505447726,5312.1895353810705,172
TTC6,C5,5.063953488372093,2.532013173598097,5521.793353092924,172
TTC6,C6,6.4476744186046515,2.4785973558529384,5711.709049580818,172
TTC8,C1,1.8488372093023255,2.1248594964789924,2701.666058258802,172
TTC8,C2,2.046511627906977,2.062797604935668,3157.3055589785436,172
TTC8,C3,2.9011627906976742,2.3110714553189013,3482.739833396584,172
TTC8,C4,3.5697674418604652,2.279020501997384,3775.3333839995075,172
TTC8,C5,4.1976744186046515,2.3160753628410515,4057.9368291544984,172
TTC8,C6,4.191860465116279,2.2616412358796794,4315.302788155291,172
