  5/140  elapsed 1.5 min  eta 41.7 min
  10/140  elapsed 2.5 min  eta 33.0 min
  15/140  elapsed 4.3 min  eta 35.5 min
  20/140  elapsed 5.3 min  eta 32.0 min
  25/140  elapsed 6.7 min  eta 30.7 min
  30/140  elapsed 8.0 min  eta 29.3 min
  35/140  elapsed 9.2 min  eta 27.6 min
  40/140  elapsed 9.9 min  eta 24.7 min
  45/140  elapsed 10.8 min  eta 22.7 min
  50/140  elapsed 11.6 min  eta 21.0 min
  55/140  elapsed 12.7 min  eta 19.7 min
  60/140  elapsed 13.8 min  eta 18.4 min
  65/140  elapsed 15.0 min  eta 17.3 min
  70/140  elapsed 16.1 min  eta 16.1 min
  75/140  elapsed 17.2 min  eta 14.9 min
  80/140  elapsed 18.1 min  eta 13.6 min
  85/140  elapsed 19.0 min  eta 12.3 min
  90/140  elapsed 20.2 min  eta 11.2 min
  95/140  elapsed 21.6 min  eta 10.2 min
  100/140  elapsed 22.9 min  eta 9.2 min
  105/140  elapsed 24.1 min  eta 8.0 min
  110/140  elapsed 25.3 min  eta 6.9 min
  115/140  elapsed 26.3 min  eta 5.7 min
  120/140  elapsed 27.7 min  eta 4.6 min
  125/140  elapsed 29.1 min  eta 3.5 min
  130/140  elapsed 30.3 min  eta 2.3 min
  135/140  elapsed 31.6 min  eta 1.2 min
  140/140  elapsed 32.9 min  eta 0.0 min
wrote C:\Users\bargman\OneDrive - Chalmers\1_Work\1_Code\WaymoActiveInference\replication\sweep_aidriver.csv (140 runs total, 32.9 min this session)
