exp,v0,thw0,eps_pre_median,collision_term_share,E_at_onset_median,benign_steps_to_replan,epistemic_median,velocity_term_median,effort_term_median
0,25.0,0.668,67482.1808,1.0,0.3015,13.2669,1918.9125,-0.0032,-2.0024
1,20.0,0.71,94388.6294,1.0,0.4255,9.3999,1876.6946,-0.0032,-2.0023
2,15.0,0.78,98843.7033,1.0,0.4418,9.0538,1813.1524,-0.0034,-2.0109
3,10.0,0.92,75690.64,0.9999,0.3365,11.8868,1745.3295,-0.005,-3.2577
4,25.0,1.168,59015.5245,1.0,0.267,14.9793,1922.5882,-0.0032,-2.0023
5,20.0,1.21,85803.6283,1.0,0.3846,10.4016,1879.4263,-0.0039,-2.0242
6,15.0,1.28,88655.5798,0.9999,0.3987,10.0314,1815.6528,-0.006,-2.1438
7,10.0,1.42,65051.9362,0.9997,0.2902,13.7848,1750.015,-0.0061,-4.2094
8,25.0,1.668,39518.5185,0.9999,0.1798,22.2423,1923.9587,-0.0032,-2.005
9,20.0,1.71,61477.2856,1.0,0.2824,14.1624,1881.1177,-0.0036,-2.0724
10,15.0,1.78,68137.515,0.9999,0.3084,12.9704,1818.7156,-0.0033,-2.4601
11,10.0,1.92,50101.5957,1.0,0.2246,17.8126,1752.5591,-0.0032,-2.0276
12,25.0,2.168,25217.4785,0.9999,0.1143,34.9999,1927.608,-0.0035,-2.0838
13,20.0,2.21,42966.794,0.9999,0.1907,20.9745,1883.7164,-0.0099,-2.5741
14,15.0,2.28,47441.4596,0.9999,0.2102,19.0293,1818.5582,-0.0035,-2.6741
15,10.0,2.42,34172.4788,0.9996,0.1528,26.1842,1756.2064,-0.0169,-5.7217
16,25.0,2.668,18474.1187,0.9996,0.079,50.665,1928.9759,-0.0032,-2.011
17,20.0,2.71,26598.47,0.9999,0.1163,34.3841,1882.5379,-0.0066,-2.2241
18,15.0,2.78,27914.6117,0.9983,0.1263,31.676,1819.584,-0.0098,-3.0581
19,10.0,2.92,20853.9155,0.9972,0.0931,42.9527,1757.3222,-0.015,-4.9654
20,25.0,3.168,12211.9094,0.9998,0.053,75.4662,1934.8812,-0.0032,-2.0138
21,20.0,3.21,14377.9673,0.9998,0.0632,63.3357,1887.2985,-0.0032,-2.6194
22,15.0,3.28,13909.685,0.9989,0.063,63.5249,1821.6757,-0.0032,-3.1067
23,10.0,3.42,10926.2852,0.9962,0.0516,77.4966,1758.928,-0.0103,-3.232
24,25.0,3.668,7592.184,0.9992,0.0313,127.6537,1941.1009,-0.0033,-2.1352
25,20.0,3.71,6695.3266,0.9994,0.0302,132.2772,1891.4308,-0.0032,-2.0255
26,15.0,3.78,6246.0999,0.9934,0.0294,135.8799,1821.9206,-0.0062,-2.416
27,10.0,3.92,5371.7689,0.9993,0.025,160.2301,1759.1517,-0.0032,-2.0032
