exp,v0,thw0,x0,lead_onset_s,n_seeds,n_off_road,frac_off_road,n_before_onset,n_right,n_left,t_off_median_s,max_abs_y_before_onset,max_abs_dv_before_onset
0,25.0,0.668,16.7,0.8,32,24,0.75,0,5,19,3.2,0.0,0.0
1,20.0,0.71,14.2,0.8,32,3,0.094,0,1,2,3.6,0.0,0.0
2,15.0,0.78,11.7,0.8,32,0,0.0,0,0,0,,0.0,0.0
3,10.0,0.92,9.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
4,25.0,1.168,29.2,0.8,32,22,0.688,0,2,20,4.2,0.0,0.0
5,20.0,1.21,24.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
6,15.0,1.28,19.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
7,10.0,1.42,14.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
8,25.0,1.668,41.7,0.8,32,22,0.688,0,6,16,4.3,0.0,0.0
9,20.0,1.71,34.2,0.8,32,1,0.031,0,0,1,5.0,0.0,0.0
10,15.0,1.78,26.7,0.8,32,0,0.0,0,0,0,,0.0,0.0
11,10.0,1.92,19.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
12,25.0,2.168,54.2,0.8,32,18,0.562,0,4,14,4.4,0.0,0.0
13,20.0,2.21,44.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
14,15.0,2.28,34.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
15,10.0,2.42,24.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
16,25.0,2.668,66.7,0.8,32,15,0.469,0,3,12,5.0,0.0,0.0
17,20.0,2.71,54.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
18,15.0,2.78,41.7,0.8,32,0,0.0,0,0,0,,0.0,0.0
19,10.0,2.92,29.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
20,25.0,3.168,79.2,0.8,32,14,0.438,0,4,10,5.300000000000001,0.0,0.0
21,20.0,3.21,64.2,0.8,32,1,0.031,0,0,1,6.4,0.0,0.0
22,15.0,3.28,49.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
23,10.0,3.42,34.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
24,25.0,3.668,91.7,0.8,32,17,0.531,0,8,9,6.0,0.0,0.0
25,20.0,3.71,74.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
26,15.0,3.78,56.7,0.8,32,0,0.0,0,0,0,,0.0,0.0
27,10.0,3.92,39.2,0.8,32,0,0.0,0,0,0,,0.0,0.0
