exp,v0,thw0,x0,n,delay_median_s,delay_min_s,delay_max_s,n_seeds_at_median,dv_at_perception,dv_threshold_predicted
0,25.0,0.668,16.7,32,0.0,0.0,0.0,32,0.4,0.3479
1,20.0,0.71,14.2,32,0.0,0.0,0.0,32,0.4,0.2516
2,15.0,0.78,11.7,32,0.0,0.0,0.0,32,0.4,0.1709
3,10.0,0.92,9.2,32,0.0,0.0,0.0,32,0.4,0.1058
4,25.0,1.168,29.2,32,0.2,0.2,0.2,32,1.2,1.0638
5,20.0,1.21,24.2,32,0.2,0.2,0.2,32,1.2,0.7306
6,15.0,1.28,19.2,32,0.2,0.2,0.2,32,1.2,0.4598
7,10.0,1.42,14.2,32,0.0,0.0,0.0,32,0.4,0.2516
8,25.0,1.668,41.7,32,0.4,0.4,0.4,32,2.4,2.1704
9,20.0,1.71,34.2,32,0.4,0.4,0.4,32,2.4,1.4596
10,15.0,1.78,26.7,32,0.2,0.2,0.2,32,1.2,0.8894
11,10.0,1.92,19.2,32,0.2,0.2,0.2,32,1.2,0.4598
12,25.0,2.168,54.2,32,0.6,0.6,0.6,32,3.6,3.6676
13,20.0,2.21,44.2,32,0.4,0.4,0.4,32,2.4,2.4386
14,15.0,2.28,34.2,32,0.4,0.4,0.4,32,2.4,1.4596
15,10.0,2.42,24.2,32,0.2,0.2,0.2,32,1.2,0.7306
16,25.0,2.668,66.7,32,1.0,1.0,1.0,32,6.0,5.5554
17,20.0,2.71,54.2,32,0.6,0.6,0.6,32,3.6,3.6676
18,15.0,2.78,41.7,32,0.4,0.4,0.4,32,2.4,2.1704
19,10.0,2.92,29.2,32,0.2,0.2,0.2,32,1.2,1.0638
20,25.0,3.168,79.2,32,1.2,0.0,1.2,26,7.2,7.8338
21,20.0,3.21,64.2,32,1.0,1.0,1.0,32,6.0,5.1466
22,15.0,3.28,49.2,32,0.6,0.6,0.6,32,3.6,3.0218
23,10.0,3.42,34.2,32,0.4,0.4,0.4,32,2.4,1.4596
24,25.0,3.668,91.7,32,0.0,0.0,1.6,18,0.4,10.5029
25,20.0,3.71,74.2,32,1.2,0.0,1.2,31,7.2,6.8756
26,15.0,3.78,56.7,32,0.8,0.8,0.8,32,4.8,4.0139
27,10.0,3.92,39.2,32,0.4,0.4,0.4,32,2.4,1.9178
