exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
0,0,25.0,0.668,0.8,1.0,0.4,9,6,4,-146.93385620117186,0,1000.0,35964.86124497937
0,1,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-148.05031127929686,0,1000.0,15438.143160915504
0,2,25.0,0.668,0.8,0.8,0.4,8,6,4,-129.358447265625,0,1000.0,29141.446055534634
0,3,25.0,0.668,0.8,1.2000000000000002,0.4,10,6,4,-91.40773315429688,0,1000.0,5796.356986608971
0,4,25.0,0.668,0.8,1.0,0.4,9,6,4,-106.26709289550782,0,1000.0,15668.602130995498
0,5,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-182.92816467285155,0,1000.0,16586.690856527865
0,6,25.0,0.668,0.8,1.0,0.6000000000000001,9,7,4,-168.76028747558593,0,1000.0,15213.631577193337
0,7,25.0,0.668,0.8,1.8,0.4,13,6,4,-172.85126037597655,0,1000.0,44849.23431741347
0,8,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-146.54371948242186,0,1000.0,15337.55849784342
0,9,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-132.5807373046875,0,1000.0,16182.724338938517
0,10,25.0,0.668,0.8,2.4000000000000004,0.4,16,6,4,-171.17074890136718,0,1000.0,15717.323125510715
0,11,25.0,0.668,0.8,0.8,0.4,8,6,4,-188.18796081542968,0,1000.0,15714.223567897398
0,12,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-177.64972229003905,0,1000.0,15279.989672950764
0,13,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-122.51993103027344,0,1000.0,6939.385287212364
0,14,25.0,0.668,0.8,1.8,0.4,13,6,4,-136.20286865234374,0,1000.0,16015.70192428285
0,15,25.0,0.668,0.8,1.4000000000000001,0.4,11,6,4,-197.01446838378905,0,1000.0,15920.484750101126
0,16,25.0,0.668,0.8,0.8,0.4,8,6,4,-110.18847961425782,0,1000.0,6088.2433701897035
