exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
0,0,25.0,0.668,0.8,1.0,0.4,9,6,4,-146.93385620117186,0,1001.28,35964.86124497937
0,1,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-148.05031127929686,0,1001.28,6690.733386659254
0,2,25.0,0.668,0.8,0.8,0.4,8,6,4,-129.358447265625,0,1001.28,29141.446055534634
0,3,25.0,0.668,0.8,1.2000000000000002,0.4,10,6,4,-91.40773315429688,0,1001.28,5914.877052695618
0,4,25.0,0.668,0.8,1.0,0.4,9,6,4,-106.26709289550782,0,1001.28,5668.602130995498
0,5,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-182.92816467285155,0,1001.28,6583.671243083241
0,6,25.0,0.668,0.8,1.0,0.6000000000000001,9,7,4,-168.76028747558593,0,1001.28,8225.518238658813
0,7,25.0,0.668,0.8,1.8,0.4,13,6,4,-172.85126037597655,0,1001.28,44849.23431741347
0,8,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-146.54371948242186,0,1001.28,8405.62908863077
0,9,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-132.5807373046875,0,1001.28,7872.440236179073
0,10,25.0,0.668,0.8,2.4000000000000004,0.4,16,6,4,-171.17074890136718,0,1001.28,15583.777385702797
0,11,25.0,0.668,0.8,0.8,0.4,8,6,4,-188.18796081542968,0,1001.28,7585.759093917353
0,12,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-177.64972229003905,0,1001.28,13070.48344740575
0,13,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-122.51993103027344,0,1001.28,6691.768840031073
0,14,25.0,0.668,0.8,1.8,0.4,13,6,4,-136.20286865234374,0,1001.28,6123.242815632588
0,15,25.0,0.668,0.8,1.4000000000000001,0.4,11,6,4,-197.01446838378905,0,1001.28,15666.986163444493
0,16,25.0,0.668,0.8,0.8,0.4,8,6,4,-110.18847961425782,0,1001.28,6147.467579430694
0,17,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-153.35476989746093,0,1001.28,6052.468945781428
0,18,25.0,0.668,0.8,1.8,0.4,13,6,4,-141.8203155517578,0,1001.28,16160.157101735887
0,19,25.0,0.668,0.8,1.2000000000000002,0.4,10,6,4,-146.56979675292968,0,1001.28,6659.58006642166
0,20,25.0,0.668,0.8,0.8,0.4,8,6,4,-226.93497009277343,0,1001.28,22143.447607271584
0,21,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-131.15761108398436,0,1001.28,5667.167469666982
