t,ego_x,ego_y,ego_psi,ego_v,ego_ax,ego_delta,oth_x,oth_y,oth_psi,oth_v,oth_ax,oth_class,valid
0.00,1.300,-0.001,0.000,26.000,0.000,NaN,17.300,-0.048,0.000,26.000,0.000,car,1
0.05,2.600,-0.021,0.000,26.000,0.000,NaN,18.600,0.013,0.000,26.000,0.000,car,1
0.10,3.900,-0.012,0.000,26.000,0.000,NaN,19.900,-0.010,0.000,26.000,0.000,car,1
0.15,5.200,0.010,0.000,26.000,0.000,NaN,21.200,0.063,0.000,26.000,0.000,car,1
0.20,6.500,-0.015,0.000,26.000,0.000,NaN,22.500,0.013,0.000,26.000,0.000,car,1
0.25,7.800,-0.011,0.000,26.000,0.000,NaN,23.800,-0.034,0.000,26.000,0.000,car,1
0.30,9.100,-0.007,0.000,26.000,0.000,NaN,25.100,-0.008,0.000,26.000,0.000,car,1
0.35,10.400,-0.009,0.000,26.000,0.000,NaN,26.400,0.015,0.000,26.000,0.000,car,1
0.40,11.700,-0.006,0.000,26.000,0.000,NaN,27.700,-0.062,0.000,26.000,0.000,car,1
0.45,13.000,0.011,0.000,26.000,0.000,NaN,29.000,0.014,0.000,26.000,0.000,car,1
0.50,14.300,-0.029,0.000,26.000,0.000,NaN,30.300,-0.020,0.000,26.000,0.000,car,1
0.55,15.600,-0.010,0.000,26.000,0.000,NaN,31.600,0.020,0.000,26.000,0.000,car,1
0.60,16.900,-0.005,0.000,26.000,0.000,NaN,32.900,0.029,0.000,26.000,0.000,car,1
0.65,18.200,-0.015,0.000,26.000,0.000,NaN,34.200,0.026,0.000,26.000,0.000,car,1
0.70,19.500,0.000,0.000,26.000,0.000,NaN,35.500,-0.011,0.000,26.000,0.000,car,1
0.75,20.800,0.017,0.000,26.000,0.000,NaN,36.800,0.024,0.000,26.000,0.000,car,1
0.80,22.100,0.012,0.000,26.000,0.000,NaN,38.100,-0.004,0.000,26.000,0.000,car,1
0.85,23.400,0.021,0.000,26.000,0.000,NaN,39.400,0.036,0.000,26.000,0.000,car,1
0.90,24.700,-0.006,0.000,26.000,0.000,NaN,40.700,0.003,0.000,26.000,0.000,car,1
0.95,26.000,-0.030,0.000,26.000,0.000,NaN,42.000,-0.020,0.000,26.000,0.000,car,1
1.00,27.300,0.019,0.000,26.000,0.000,NaN,43.300,-0.029,0.000,26.000,0.000,car,1
1.05,28.600,0.007,0.000,26.000,0.000,NaN,44.600,-0.001,0.000,26.000,0.000,car,1
1.10,29.900,0.033,0.000,26.000,0.000,NaN,45.900,0.004,0.000,26.000,0.000,car,1
1.15,31.200,-0.038,0.000,26.000,0.000,NaN,47.200,-0.013,0.000,26.000,0.000,car,1
1.20,32.500,0.008,0.000,26.000,0.000,NaN,48.500,0.018,0.000,26.000,0.000,car,1
1.25,33.800,0.009,0.000,26.000,0.000,NaN,49.800,0.038,0.000,26.000,0.000,car,1
1.30,35.100,0.005,0.000,26.000,0.000,NaN,51.100,-0.057,0.000,26.000,0.000,car,1
1.35,36.400,-0.013,0.000,26.000,0.000,NaN,52.400,0.006,0.000,26.000,0.000,car,1
1.40,37.700,-0.014,0.000,26.000,0.000,NaN,53.700,0.010,0.000,26.000,0.000,car,1
1.45,39.000,0.006,0.000,26.000,0.000,NaN,55.000,0.048,0.000,26.000,0.000,car,1
1.50,40.300,-0.014,0.000,26.000,0.000,NaN,56.300,-0.036,0.000,26.000,0.000,car,1
1.55,41.600,-0.025,0.000,26.000,0.000,NaN,57.600,-0.014,0.000,26.000,0.000,car,1
1.60,42.900,0.010,0.000,26.000,0.000,NaN,58.900,-0.005,0.000,26.000,0.000,car,1
1.65,44.200,-0.014,0.000,26.000,0.000,NaN,60.200,-0.033,0.000,26.000,0.000,car,1
1.70,45.500,-0.005,0.000,26.000,0.000,NaN,61.500,0.019,0.000,26.000,0.000,car,1
1.75,46.800,0.022,0.000,26.000,0.000,NaN,62.800,0.037,0.000,26.000,0.000,car,1
1.80,48.100,0.014,0.000,26.000,0.000,NaN,64.100,0.009,0.000,26.000,0.000,car,1
1.85,49.400,-0.012,0.000,26.000,0.000,NaN,65.400,0.009,0.000,26.000,0.000,car,1
1.90,50.700,0.030,0.000,26.000,0.000,NaN,66.700,0.003,0.000,26.000,0.000,car,1
1.95,52.000,0.015,0.000,26.000,0.000,NaN,68.000,0.000,0.000,26.000,0.000,car,1
2.00,53.300,0.009,0.000,26.000,0.000,NaN,69.300,-0.028,0.000,26.000,-0.500,car,1
2.05,54.600,-0.026,0.000,26.000,0.000,NaN,70.597,-0.030,0.000,25.950,-1.000,car,1
2.10,55.900,-0.039,0.000,26.000,0.000,NaN,71.893,0.026,0.000,25.900,-1.000,car,1
2.15,57.200,0.048,0.000,26.000,0.000,NaN,73.185,-0.006,0.000,25.850,-1.000,car,1
2.20,58.500,-0.016,0.000,26.000,0.000,NaN,74.475,0.011,0.000,25.800,-1.000,car,1
2.25,59.800,0.032,0.000,26.000,0.000,NaN,75.763,0.003,0.000,25.750,-1.000,car,1
2.30,61.100,0.026,0.000,26.000,0.000,NaN,77.048,-0.000,0.000,25.700,-1.000,car,1
2.35,62.400,0.005,0.000,26.000,0.000,NaN,78.330,-0.045,0.000,25.650,-1.000,car,1
2.40,63.700,0.007,0.000,26.000,0.000,NaN,79.610,-0.028,0.000,25.600,-1.000,car,1
2.45,65.000,-0.021,0.000,26.000,0.000,NaN,80.888,-0.047,0.000,25.550,-1.000,car,1
2.50,66.300,0.012,0.000,26.000,0.000,NaN,82.163,0.069,0.000,25.500,-1.000,car,1
2.55,67.600,-0.014,0.000,26.000,0.000,NaN,83.435,-0.008,0.000,25.450,-1.000,car,1
2.60,68.900,-0.007,0.000,26.000,0.000,NaN,84.705,0.013,0.000,25.400,-1.000,car,1
2.65,70.200,0.020,0.000,26.000,0.000,NaN,85.973,-0.001,0.000,25.350,-1.000,car,1
2.70,71.500,-0.008,0.000,26.000,0.000,NaN,87.237,-0.054,0.000,25.300,-1.000,car,1
2.75,72.800,0.013,0.000,26.000,0.000,NaN,88.500,0.002,0.000,25.250,-1.000,car,1
2.80,74.100,-0.036,0.000,26.000,0.000,NaN,89.760,-0.035,0.000,25.200,-1.000,car,1
2.85,75.400,-0.020,0.000,26.000,0.000,NaN,91.018,-0.013,0.000,25.150,-1.000,car,1
2.90,76.700,-0.018,0.000,26.000,0.000,NaN,92.273,0.023,0.000,25.100,-1.000,car,1
2.95,78.000,-0.019,0.000,26.000,0.000,NaN,93.525,-0.015,0.000,25.050,-1.000,car,1
3.00,79.300,-0.021,0.000,26.000,0.000,NaN,94.775,0.021,0.000,25.000,-1.000,car,1
3.05,80.600,-0.009,0.000,26.000,0.000,NaN,96.023,0.000,0.000,24.950,-1.000,car,1
3.10,81.900,0.011,0.000,26.000,0.000,NaN,97.268,-0.000,0.000,24.900,-1.000,car,1
3.15,83.200,-0.003,0.000,26.000,0.000,NaN,98.510,0.023,0.000,24.850,-1.000,car,1
3.20,84.500,0.007,0.000,26.000,0.000,NaN,99.750,0.003,0.000,24.800,-1.000,car,1
3.25,85.800,-0.008,0.000,26.000,0.000,NaN,100.988,0.005,0.000,24.750,-1.000,car,1
3.30,87.100,-0.014,0.000,26.000,0.000,NaN,102.223,0.045,0.000,24.700,-1.000,car,1
3.35,88.400,0.006,0.000,26.000,0.000,NaN,103.455,0.014,0.000,24.650,-1.000,car,1
3.40,89.700,-0.013,0.000,26.000,0.000,NaN,104.685,-0.007,0.000,24.600,-1.000,car,1
3.45,91.000,0.014,0.000,26.000,0.000,NaN,105.913,-0.058,0.000,24.550,-1.000,car,1
3.50,92.300,-0.005,0.000,26.000,0.000,NaN,107.138,-0.019,0.000,24.500,-1.000,car,1
3.55,93.600,-0.023,0.000,26.000,0.000,NaN,108.360,0.020,0.000,24.450,-1.000,car,1
3.60,94.900,-0.015,0.000,26.000,0.000,NaN,109.580,-0.031,0.000,24.400,-1.000,car,1
3.65,96.200,0.020,0.000,26.000,0.000,NaN,110.798,-0.056,0.000,24.350,-1.000,car,1
3.70,97.500,0.021,0.000,26.000,0.000,NaN,112.013,0.032,0.000,24.300,-1.000,car,1
3.75,98.800,-0.041,0.000,26.000,0.000,NaN,113.225,-0.007,0.000,24.250,-1.000,car,1
3.80,100.100,0.006,0.000,26.000,0.000,NaN,114.435,0.031,0.000,24.200,-1.000,car,1
3.85,101.400,-0.011,0.000,26.000,0.000,NaN,115.643,-0.005,0.000,24.150,-1.000,car,1
3.90,102.700,0.015,0.000,26.000,0.000,NaN,116.848,-0.027,0.000,24.100,-1.000,car,1
3.95,104.000,0.012,0.000,26.000,0.000,NaN,118.050,0.033,0.000,24.050,-1.000,car,1
4.00,105.300,-0.021,0.000,26.000,0.000,NaN,119.250,0.009,0.000,24.000,-1.000,car,1
4.05,106.600,0.002,0.000,26.000,0.000,NaN,120.447,-0.032,0.000,23.950,-1.000,car,1
4.10,107.900,0.003,0.000,26.000,0.000,NaN,121.642,-0.008,0.000,23.900,-1.000,car,1
4.15,109.200,-0.016,0.000,26.000,0.000,NaN,122.835,-0.011,0.000,23.850,-1.000,car,1
